Temperature(K)	Pressure(atm)	JobID	WorkDir
500	10	994282	RMD_Relax_500k_10atm
500	7.5	994283	RMD_Relax_500k_7.5atm
500	5	994284	RMD_Relax_500k_5atm
500	2.5	994285	RMD_Relax_500k_2.5atm
500	1	994286	RMD_Relax_500k_1atm
500	0.75	994287	RMD_Relax_500k_0.75atm
500	0.5	994288	RMD_Relax_500k_0.5atm
500	0.25	994289	RMD_Relax_500k_0.25atm
500	0.1	994290	RMD_Relax_500k_0.1atm
500	0.05	994291	RMD_Relax_500k_0.05atm
600	10	994292	RMD_Relax_600k_10atm
600	7.5	994293	RMD_Relax_600k_7.5atm
600	5	994295	RMD_Relax_600k_5atm
600	2.5	994296	RMD_Relax_600k_2.5atm
600	1	994297	RMD_Relax_600k_1atm
600	0.75	994298	RMD_Relax_600k_0.75atm
600	0.5	994299	RMD_Relax_600k_0.5atm
600	0.25	994300	RMD_Relax_600k_0.25atm
600	0.1	994301	RMD_Relax_600k_0.1atm
600	0.05	994325	RMD_Relax_600k_0.05atm
700	10	994326	RMD_Relax_700k_10atm
700	7.5	994327	RMD_Relax_700k_7.5atm
700	5	994328	RMD_Relax_700k_5atm
700	2.5	994329	RMD_Relax_700k_2.5atm
700	1	994330	RMD_Relax_700k_1atm
700	0.75	994331	RMD_Relax_700k_0.75atm
700	0.5	994332	RMD_Relax_700k_0.5atm
700	0.25	994333	RMD_Relax_700k_0.25atm
700	0.1	994334	RMD_Relax_700k_0.1atm
700	0.05	994335	RMD_Relax_700k_0.05atm
800	10	994336	RMD_Relax_800k_10atm
800	7.5	994337	RMD_Relax_800k_7.5atm
800	5	994338	RMD_Relax_800k_5atm
800	2.5	994339	RMD_Relax_800k_2.5atm
800	1	994340	RMD_Relax_800k_1atm
800	0.75	994343	RMD_Relax_800k_0.75atm
800	0.5	994344	RMD_Relax_800k_0.5atm
800	0.25	994345	RMD_Relax_800k_0.25atm
800	0.1	994447	RMD_Relax_800k_0.1atm
800	0.05	994448	RMD_Relax_800k_0.05atm
900	10	994449	RMD_Relax_900k_10atm
900	7.5	994450	RMD_Relax_900k_7.5atm
900	5	994451	RMD_Relax_900k_5atm
900	2.5	994452	RMD_Relax_900k_2.5atm
900	1	994453	RMD_Relax_900k_1atm
900	0.75	994454	RMD_Relax_900k_0.75atm
900	0.5	994455	RMD_Relax_900k_0.5atm
900	0.25	994456	RMD_Relax_900k_0.25atm
900	0.1	994458	RMD_Relax_900k_0.1atm
900	0.05	994459	RMD_Relax_900k_0.05atm
1000	10	994460	RMD_Relax_1000k_10atm
1000	7.5	994461	RMD_Relax_1000k_7.5atm
1000	5	994465	RMD_Relax_1000k_5atm
1000	2.5	994466	RMD_Relax_1000k_2.5atm
1000	1	994467	RMD_Relax_1000k_1atm
1000	0.75	994468	RMD_Relax_1000k_0.75atm
1000	0.5	994470	RMD_Relax_1000k_0.5atm
1000	0.25	994507	RMD_Relax_1000k_0.25atm
1000	0.1	994509	RMD_Relax_1000k_0.1atm
1000	0.05	994510	RMD_Relax_1000k_0.05atm
