# All individual data points from all datasets
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
500	0.1 bar	-1.0000	2.0000	4.503118	2.841747	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.0000	2.0000	4.503118	2.815121	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.0000	2.0000	4.359018	2.752524	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.0000	2.0000	4.395043	2.953816	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.0000	2.0000	4.575168	2.973145	RMD_Relax_500k_0.1atm
500	0.25 bar	-0.6021	2.0000	4.635210	2.812075	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.6021	2.0000	4.443077	2.771797	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.6021	2.0000	4.539143	2.662222	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.6021	2.0000	4.623201	2.862594	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.6021	2.0000	4.539143	2.772306	RMD_Relax_500k_0.25atm
500	0.5 bar	-0.3010	2.0000	4.527135	2.877049	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.3010	2.0000	4.611193	2.979700	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.3010	2.0000	4.647218	2.778255	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.3010	2.0000	4.671235	2.806613	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.3010	2.0000	4.683243	2.927062	RMD_Relax_500k_0.5atm
500	0.75 bar	-0.1249	2.0000	4.395043	2.712074	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.1249	2.0000	4.491110	2.786061	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.1249	2.0000	4.695251	2.883244	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.1249	2.0000	4.407052	2.773907	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.1249	2.0000	4.563160	2.920189	RMD_Relax_500k_0.75atm
500	1 bar	0.0000	2.0000	4.539143	2.882258	RMD_Relax_500k_1atm
500	1 bar	0.0000	2.0000	4.587176	2.851686	RMD_Relax_500k_1atm
500	1 bar	0.0000	2.0000	4.515127	2.809446	RMD_Relax_500k_1atm
500	1 bar	0.0000	2.0000	4.551151	2.987053	RMD_Relax_500k_1atm
500	1 bar	0.0000	2.0000	4.286969	2.692377	RMD_Relax_500k_1atm
500	2.5 bar	0.3979	2.0000	4.623201	2.861334	RMD_Relax_500k_2.5atm
500	2.5 bar	0.3979	2.0000	4.875376	2.849380	RMD_Relax_500k_2.5atm
