# Statistical summary of averaged data
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage_avg(atom/nm²)	E_ads_avg(eV)	Desorption_rate(atom/(nm²·ps))
500	0.1 bar	-1.0000	2.0000	4.467093	2.867270	0.000001
500	0.25 bar	-0.6021	2.0000	4.555955	2.776199	0.000001
500	0.5 bar	-0.3010	2.0000	4.628005	2.873736	0.000001
500	0.75 bar	-0.1249	2.0000	4.510323	2.815095	0.000001
500	1 bar	0.0000	2.0000	4.495913	2.844564	0.000001
500	2.5 bar	0.3979	2.0000	4.764899	2.851961	0.000001
500	5 bar	0.6990	2.0000	4.880179	2.873560	0.000001
500	7.5 bar	0.8751	2.0000	4.913803	2.954733	0.000001
500	10 bar	1.0000	2.0000	4.884983	2.864743	0.000001
600	0.1 bar	-1.0000	1.6667	3.903877	2.792105	0.000001
600	0.25 bar	-0.6021	1.6667	4.121690	2.834903	0.000001
600	0.5 bar	-0.3010	1.6667	4.179135	2.811127	0.000001
600	0.75 bar	-0.1249	1.6667	4.076212	2.823628	0.000001
600	1 bar	0.0000	1.6667	4.473541	2.887819	0.000001
600	2.5 bar	0.3979	1.6667	4.502264	2.937078	0.000001
600	5 bar	0.6990	1.6667	4.643483	2.873748	0.000001
600	7.5 bar	0.8751	1.6667	4.602793	2.915654	0.000001
600	10 bar	1.0000	1.6667	4.609973	2.911889	0.000001
700	0.1 bar	-1.0000	1.4286	3.444549	2.804160	0.000001
700	0.25 bar	-0.6021	1.4286	3.573809	2.814359	0.000001
700	0.5 bar	-0.3010	1.4286	3.949622	2.854748	0.000001
700	0.75 bar	-0.1249	1.4286	4.062126	2.898416	0.000001
700	1 bar	0.0000	1.4286	4.121969	2.920585	0.000001
700	2.5 bar	0.3979	1.4286	4.414002	3.004288	0.000001
700	5 bar	0.6990	1.4286	4.485813	2.929218	0.000001
700	7.5 bar	0.8751	1.4286	4.538475	3.063375	0.000001
700	10 bar	1.0000	1.4286	4.560018	2.987364	0.000001
800	0.1 bar	-1.0000	1.2500	2.688001	2.882627	0.000001
800	0.25 bar	-0.6021	1.2500	3.312728	2.981445	0.000001
800	0.5 bar	-0.3010	1.2500	3.322303	2.917583	0.000001
800	0.75 bar	-0.1249	1.2500	3.657405	2.989596	0.000001
800	1 bar	0.0000	1.2500	3.698096	2.970393	0.000001
800	2.5 bar	0.3979	1.2500	3.990114	2.936049	0.000001
800	5 bar	0.6990	1.2500	4.145698	3.024290	0.000001
800	7.5 bar	0.8751	1.2500	4.270164	3.053954	0.000001
800	10 bar	1.0000	1.2500	4.267771	3.097446	0.000001
900	0.1 bar	-1.0000	1.1111	2.441009	2.949321	0.000001
900	0.25 bar	-0.6021	1.1111	2.692536	2.913145	0.000001
900	0.5 bar	-0.3010	1.1111	3.118934	2.974400	0.000001
900	0.75 bar	-0.1249	1.1111	3.209963	3.082355	0.000001
900	1 bar	0.0000	1.1111	3.209963	2.983846	0.000001
900	2.5 bar	0.3979	1.1111	3.583660	3.067136	0.000001
900	5 bar	0.6990	1.1111	4.007663	3.086182	0.000001
900	7.5 bar	0.8751	1.1111	4.062759	3.188708	0.000001
900	10 bar	1.0000	1.1111	4.158579	3.064802	0.000001
1000	0.1 bar	-1.0000	1.0000	1.860154	2.987707	0.000001
1000	0.25 bar	-0.6021	1.0000	2.307836	2.987551	0.000001
1000	0.5 bar	-0.3010	1.0000	2.669333	3.057020	0.000001
1000	0.75 bar	-0.1249	1.0000	2.654969	3.062251	0.000001
1000	1 bar	0.0000	1.0000	2.827338	3.039732	0.000001
1000	2.5 bar	0.3979	1.0000	3.497664	3.145165	0.000001
1000	5 bar	0.6990	1.0000	3.634123	3.237594	0.000001
1000	7.5 bar	0.8751	1.0000	4.017166	3.193317	0.000001
1000	10 bar	1.0000	1.0000	3.988438	3.298194	0.000001
