# Averaged time series data from multiple datasets
# Note: Adsorption energy has been multiplied by -1
# Temperature(K)	Pressure	Time(ps)	Coverage(atom/nm²)	E_ads_per_O(eV)
500	1 bar	0.0000	4.495913	0.237863
500	1 bar	0.2000	4.495913	1.960682
500	1 bar	0.4000	4.495913	2.217738
500	1 bar	0.6000	4.495913	2.326053
500	1 bar	0.8000	4.495913	2.390371
500	1 bar	1.0000	4.495913	2.432540
500	1 bar	1.2000	4.495913	2.492770
500	1 bar	1.4000	4.495913	2.518866
500	1 bar	1.6000	4.495913	2.542621
500	1 bar	1.8000	4.495913	2.578970
500	1 bar	2.0000	4.495913	2.602529
500	1 bar	2.2000	4.495913	2.617207
500	1 bar	2.4000	4.495913	2.651805
500	1 bar	2.6000	4.495913	2.656062
500	1 bar	2.8000	4.495913	2.663876
500	1 bar	3.0000	4.495913	2.672055
500	1 bar	3.2000	4.495913	2.679089
500	1 bar	3.4000	4.495913	2.685376
500	1 bar	3.6000	4.495913	2.681418
500	1 bar	3.8000	4.495913	2.702306
500	1 bar	4.0000	4.495913	2.695055
500	1 bar	4.2000	4.495913	2.704046
500	1 bar	4.4000	4.495913	2.719240
500	1 bar	4.6000	4.495913	2.717138
500	1 bar	4.8000	4.495913	2.720364
500	1 bar	5.0000	4.495913	2.744892
500	1 bar	5.2000	4.495913	2.737199
500	1 bar	5.4000	4.495913	2.739865
500	1 bar	5.6000	4.495913	2.749026
500	1 bar	5.8000	4.495913	2.754233
500	1 bar	6.0000	4.495913	2.759744
500	1 bar	6.2000	4.495913	2.761508
500	1 bar	6.4000	4.495913	2.784015
500	1 bar	6.6000	4.495913	2.776736
500	1 bar	6.8000	4.495913	2.767670
500	1 bar	7.0000	4.495913	2.765529
500	1 bar	7.2000	4.495913	2.767762
500	1 bar	7.4000	4.495913	2.782199
500	1 bar	7.6000	4.495913	2.792806
500	1 bar	7.8000	4.495913	2.773454
500	1 bar	8.0000	4.495913	2.797105
500	1 bar	8.2000	4.495913	2.796385
500	1 bar	8.4000	4.495913	2.797374
500	1 bar	8.6000	4.495913	2.804064
500	1 bar	8.8000	4.495913	2.811552
500	1 bar	9.0000	4.495913	2.804617
500	1 bar	9.2000	4.495913	2.804638
500	1 bar	9.4000	4.495913	2.806903
500	1 bar	9.6000	4.495913	2.821051
500	1 bar	9.8000	4.495913	2.809086
500	1 bar	10.0000	4.495913	2.812640
500	1 bar	10.2000	4.495913	2.816191
500	1 bar	10.4000	4.495913	2.819371
500	1 bar	10.6000	4.495913	2.824076
500	1 bar	10.8000	4.495913	2.816080
500	1 bar	11.0000	4.495913	2.807637
500	1 bar	11.2000	4.495913	2.824008
500	1 bar	11.4000	4.495913	2.814127
500	1 bar	11.6000	4.495913	2.822436
500	1 bar	11.8000	4.495913	2.820625
500	1 bar	12.0000	4.495913	2.826475
500	1 bar	12.2000	4.495913	2.831595
500	1 bar	12.4000	4.495913	2.832951
500	1 bar	12.6000	4.495913	2.821198
500	1 bar	12.8000	4.495913	2.833606
500	1 bar	13.0000	4.495913	2.824855
500	1 bar	13.2000	4.495913	2.830153
500	1 bar	13.4000	4.495913	2.845501
500	1 bar	13.6000	4.495913	2.825683
500	1 bar	13.8000	4.495913	2.849120
500	1 bar	14.0000	4.495913	2.845323
500	1 bar	14.2000	4.495913	2.837598
500	1 bar	14.4000	4.495913	2.832592
500	1 bar	14.6000	4.495913	2.834607
500	1 bar	14.8000	4.495913	2.857961
500	1 bar	15.0000	4.495913	2.845486
500	1 bar	15.2000	4.495913	2.846521
500	1 bar	15.4000	4.495913	2.853382
500	1 bar	15.6000	4.495913	2.835250
500	1 bar	15.8000	4.495913	2.858238
500	1 bar	16.0000	4.495913	2.847581
500	1 bar	16.2000	4.495913	2.852957
500	1 bar	16.4000	4.495913	2.856220
500	1 bar	16.6000	4.495913	2.849250
500	1 bar	16.8000	4.495913	2.847177
500	1 bar	17.0000	4.495913	2.864518
500	1 bar	17.2000	4.495913	2.870240
500	1 bar	17.4000	4.495913	2.866771
500	1 bar	17.6000	4.495913	2.862670
500	1 bar	17.8000	4.495913	2.865010
500	1 bar	18.0000	4.495913	2.872924
500	1 bar	18.2000	4.495913	2.863885
500	1 bar	18.4000	4.495913	2.868005
500	1 bar	18.6000	4.495913	2.857473
500	1 bar	18.8000	4.495913	2.866523
500	1 bar	19.0000	4.495913	2.881137
500	1 bar	19.2000	4.495913	2.861148
500	1 bar	19.4000	4.495913	2.870928
500	1 bar	19.6000	4.495913	2.863505
500	1 bar	19.8000	4.495913	2.873904
500	1 bar	20.0000	4.495913	2.865664
500	0.1 bar	0.0000	4.467093	0.303033
500	0.1 bar	0.2000	4.467093	1.944127
500	0.1 bar	0.4000	4.467093	2.205971
500	0.1 bar	0.6000	4.467093	2.303091
500	0.1 bar	0.8000	4.467093	2.391527
500	0.1 bar	1.0000	4.467093	2.424537
500	0.1 bar	1.2000	4.467093	2.479584
500	0.1 bar	1.4000	4.467093	2.509045
500	0.1 bar	1.6000	4.467093	2.545861
500	0.1 bar	1.8000	4.467093	2.575174
500	0.1 bar	2.0000	4.467093	2.608971
500	0.1 bar	2.2000	4.467093	2.608289
500	0.1 bar	2.4000	4.467093	2.632164
500	0.1 bar	2.6000	4.467093	2.646907
500	0.1 bar	2.8000	4.467093	2.662332
500	0.1 bar	3.0000	4.467093	2.673860
500	0.1 bar	3.2000	4.467093	2.678762
500	0.1 bar	3.4000	4.467093	2.689800
500	0.1 bar	3.6000	4.467093	2.698627
500	0.1 bar	3.8000	4.467093	2.718296
500	0.1 bar	4.0000	4.467093	2.722387
500	0.1 bar	4.2000	4.467093	2.715010
500	0.1 bar	4.4000	4.467093	2.732375
500	0.1 bar	4.6000	4.467093	2.721196
500	0.1 bar	4.8000	4.467093	2.725258
500	0.1 bar	5.0000	4.467093	2.744770
500	0.1 bar	5.2000	4.467093	2.754887
500	0.1 bar	5.4000	4.467093	2.761978
500	0.1 bar	5.6000	4.467093	2.766558
500	0.1 bar	5.8000	4.467093	2.773110
500	0.1 bar	6.0000	4.467093	2.771600
500	0.1 bar	6.2000	4.467093	2.776816
500	0.1 bar	6.4000	4.467093	2.794355
500	0.1 bar	6.6000	4.467093	2.783587
500	0.1 bar	6.8000	4.467093	2.787985
500	0.1 bar	7.0000	4.467093	2.795884
500	0.1 bar	7.2000	4.467093	2.797034
500	0.1 bar	7.4000	4.467093	2.800331
500	0.1 bar	7.6000	4.467093	2.823128
500	0.1 bar	7.8000	4.467093	2.799524
500	0.1 bar	8.0000	4.467093	2.817782
500	0.1 bar	8.2000	4.467093	2.820689
500	0.1 bar	8.4000	4.467093	2.816915
500	0.1 bar	8.6000	4.467093	2.800635
500	0.1 bar	8.8000	4.467093	2.829204
500	0.1 bar	9.0000	4.467093	2.823009
500	0.1 bar	9.2000	4.467093	2.819027
500	0.1 bar	9.4000	4.467093	2.823054
500	0.1 bar	9.6000	4.467093	2.814342
500	0.1 bar	9.8000	4.467093	2.817029
500	0.1 bar	10.0000	4.467093	2.818430
500	0.1 bar	10.2000	4.467093	2.829317
500	0.1 bar	10.4000	4.467093	2.840160
500	0.1 bar	10.6000	4.467093	2.825210
500	0.1 bar	10.8000	4.467093	2.827973
500	0.1 bar	11.0000	4.467093	2.820548
