COMBINED RMD_Relax Analysis Statistics Summary
============================================================
Data from 3 datasets:
  - yxb_test_20241109_clean_2_20250921
  - yxb_test_20241109_clean_2_20250922
  - yxb_test_20241109_clean_2_20250923
============================================================
Note: Adsorption energy has been multiplied by -1
============================================================

AVERAGED DATA (for subplots a and b):
--------------------------------------------------
Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Desorption_rate(atom/(nm²·ps))
----------------------------------------------------------------------------------------------------
500	0.1 bar	-1.00	2.0000	4.4671	2.8673	0.000001
500	0.25 bar	-0.60	2.0000	4.5560	2.7762	0.000001
500	0.5 bar	-0.30	2.0000	4.6280	2.8737	0.000001
500	0.75 bar	-0.12	2.0000	4.5103	2.8151	0.000001
500	1 bar	0.00	2.0000	4.4959	2.8446	0.000001
500	2.5 bar	0.40	2.0000	4.7649	2.8520	0.000001
500	5 bar	0.70	2.0000	4.8802	2.8736	0.000001
500	7.5 bar	0.88	2.0000	4.9138	2.9547	0.000001
500	10 bar	1.00	2.0000	4.8850	2.8647	0.000001
600	0.1 bar	-1.00	1.6667	3.9039	2.7921	0.000001
600	0.25 bar	-0.60	1.6667	4.1217	2.8349	0.000001
600	0.5 bar	-0.30	1.6667	4.1791	2.8111	0.000001
600	0.75 bar	-0.12	1.6667	4.0762	2.8236	0.000001
600	1 bar	0.00	1.6667	4.4735	2.8878	0.000001
600	2.5 bar	0.40	1.6667	4.5023	2.9371	0.000001
600	5 bar	0.70	1.6667	4.6435	2.8737	0.000001
600	7.5 bar	0.88	1.6667	4.6028	2.9157	0.000001
600	10 bar	1.00	1.6667	4.6100	2.9119	0.000001
700	0.1 bar	-1.00	1.4286	3.4445	2.8042	0.000001
700	0.25 bar	-0.60	1.4286	3.5738	2.8144	0.000001
700	0.5 bar	-0.30	1.4286	3.9496	2.8547	0.000001
700	0.75 bar	-0.12	1.4286	4.0621	2.8984	0.000001
700	1 bar	0.00	1.4286	4.1220	2.9206	0.000001
700	2.5 bar	0.40	1.4286	4.4140	3.0043	0.000001
700	5 bar	0.70	1.4286	4.4858	2.9292	0.000001
700	7.5 bar	0.88	1.4286	4.5385	3.0634	0.000001
700	10 bar	1.00	1.4286	4.5600	2.9874	0.000001
800	0.1 bar	-1.00	1.2500	2.6880	2.8826	0.000001
800	0.25 bar	-0.60	1.2500	3.3127	2.9814	0.000001
800	0.5 bar	-0.30	1.2500	3.3223	2.9176	0.000001
800	0.75 bar	-0.12	1.2500	3.6574	2.9896	0.000001
800	1 bar	0.00	1.2500	3.6981	2.9704	0.000001
800	2.5 bar	0.40	1.2500	3.9901	2.9360	0.000001
800	5 bar	0.70	1.2500	4.1457	3.0243	0.000001
800	7.5 bar	0.88	1.2500	4.2702	3.0540	0.000001
800	10 bar	1.00	1.2500	4.2678	3.0974	0.000001
900	0.1 bar	-1.00	1.1111	2.4410	2.9493	0.000001
900	0.25 bar	-0.60	1.1111	2.6925	2.9131	0.000001
900	0.5 bar	-0.30	1.1111	3.1189	2.9744	0.000001
900	0.75 bar	-0.12	1.1111	3.2100	3.0824	0.000001
900	1 bar	0.00	1.1111	3.2100	2.9838	0.000001
900	2.5 bar	0.40	1.1111	3.5837	3.0671	0.000001
900	5 bar	0.70	1.1111	4.0077	3.0862	0.000001
900	7.5 bar	0.88	1.1111	4.0628	3.1887	0.000001
900	10 bar	1.00	1.1111	4.1586	3.0648	0.000001
1000	0.1 bar	-1.00	1.0000	1.8602	2.9877	0.000001
1000	0.25 bar	-0.60	1.0000	2.3078	2.9876	0.000001
1000	0.5 bar	-0.30	1.0000	2.6693	3.0570	0.000001
1000	0.75 bar	-0.12	1.0000	2.6550	3.0623	0.000001
1000	1 bar	0.00	1.0000	2.8273	3.0397	0.000001
1000	2.5 bar	0.40	1.0000	3.4977	3.1452	0.000001
1000	5 bar	0.70	1.0000	3.6341	3.2376	0.000001
1000	7.5 bar	0.88	1.0000	4.0172	3.1933	0.000001
1000	10 bar	1.00	1.0000	3.9884	3.2982	0.000001


INDIVIDUAL DATA POINTS (for subplot c): 270 points
--------------------------------------------------
Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
----------------------------------------------------------------------------------------------------
500	0.1 bar	-1.00	2.0000	4.5031	2.8417	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.00	2.0000	4.5031	2.8151	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.00	2.0000	4.3590	2.7525	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.00	2.0000	4.3950	2.9538	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.00	2.0000	4.5752	2.9731	RMD_Relax_500k_0.1atm
500	0.25 bar	-0.60	2.0000	4.6352	2.8121	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.60	2.0000	4.4431	2.7718	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.60	2.0000	4.5391	2.6622	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.60	2.0000	4.6232	2.8626	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.60	2.0000	4.5391	2.7723	RMD_Relax_500k_0.25atm
500	0.5 bar	-0.30	2.0000	4.5271	2.8770	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.30	2.0000	4.6112	2.9797	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.30	2.0000	4.6472	2.7783	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.30	2.0000	4.6712	2.8066	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.30	2.0000	4.6832	2.9271	RMD_Relax_500k_0.5atm
500	0.75 bar	-0.12	2.0000	4.3950	2.7121	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.12	2.0000	4.4911	2.7861	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.12	2.0000	4.6953	2.8832	RMD_Relax_500k_0.75atm
