# Histogrammed data for fix bond_stats
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
1000 50 73555 34535 0 8.213584166011708
1 0.525 20 0.000271905
2 0.575 23 0.000312691
3 0.625 38 0.00051662
4 0.675 35 0.000475834
5 0.725 38 0.00051662
6 0.775 69 0.000938074
7 0.825 71 0.000965264
8 0.875 89 0.00120998
9 0.925 112 0.00152267
10 0.975 123 0.00167222
11 1.025 168 0.00228401
12 1.075 191 0.0025967
13 1.125 216 0.00293658
14 1.175 247 0.00335803
15 1.225 277 0.00376589
16 1.275 341 0.00463599
17 1.325 388 0.00527496
18 1.375 491 0.00667528
19 1.425 592 0.0080484
20 1.475 791 0.0107539
21 1.525 947 0.0128747
22 1.575 1036 0.0140847
23 1.625 23223 0.315723
24 1.675 8065 0.109646
25 1.725 4036 0.0548705
26 1.775 1953 0.0265516
27 1.825 1484 0.0201754
28 1.875 1401 0.019047
29 1.925 1371 0.0186391
30 1.975 1320 0.0179458
31 2.025 1256 0.0170757
32 2.075 1240 0.0168581
33 2.125 1202 0.0163415
34 2.175 1148 0.0156074
35 2.225 1169 0.0158929
36 2.275 1178 0.0160152
37 2.325 1164 0.0158249
38 2.375 1238 0.0168309
39 2.425 1238 0.0168309
40 2.475 1175 0.0159744
41 2.525 1247 0.0169533
42 2.575 1191 0.016192
43 2.625 1232 0.0167494
44 2.675 1233 0.016763
45 2.725 1240 0.0168581
46 2.775 1251 0.0170077
47 2.825 1231 0.0167358
48 2.875 1210 0.0164503
49 2.925 1284 0.0174563
50 2.975 1272 0.0172932
