Temperature(K)	Pressure(atm)	JobID	WorkDir
500	10	994707	RMD_Relax_500k_10atm
500	7.5	994708	RMD_Relax_500k_7.5atm
500	5	994709	RMD_Relax_500k_5atm
500	2.5	994710	RMD_Relax_500k_2.5atm
500	1	994711	RMD_Relax_500k_1atm
500	0.75	994712	RMD_Relax_500k_0.75atm
500	0.5	994713	RMD_Relax_500k_0.5atm
500	0.25	994714	RMD_Relax_500k_0.25atm
500	0.1	994715	RMD_Relax_500k_0.1atm
500	0.05	994716	RMD_Relax_500k_0.05atm
600	10	994717	RMD_Relax_600k_10atm
600	7.5	994718	RMD_Relax_600k_7.5atm
600	5	994719	RMD_Relax_600k_5atm
600	2.5	994720	RMD_Relax_600k_2.5atm
600	1	994721	RMD_Relax_600k_1atm
600	0.75	994722	RMD_Relax_600k_0.75atm
600	0.5	994723	RMD_Relax_600k_0.5atm
600	0.25	994724	RMD_Relax_600k_0.25atm
600	0.1	994725	RMD_Relax_600k_0.1atm
600	0.05	994726	RMD_Relax_600k_0.05atm
700	10	994743	RMD_Relax_700k_10atm
700	7.5	994744	RMD_Relax_700k_7.5atm
700	5	994745	RMD_Relax_700k_5atm
700	2.5	994747	RMD_Relax_700k_2.5atm
700	1	994748	RMD_Relax_700k_1atm
700	0.75	994749	RMD_Relax_700k_0.75atm
700	0.5	994750	RMD_Relax_700k_0.5atm
700	0.25	994752	RMD_Relax_700k_0.25atm
700	0.1	994753	RMD_Relax_700k_0.1atm
700	0.05	994754	RMD_Relax_700k_0.05atm
800	10	994755	RMD_Relax_800k_10atm
800	7.5	994756	RMD_Relax_800k_7.5atm
800	5	994757	RMD_Relax_800k_5atm
800	2.5	994758	RMD_Relax_800k_2.5atm
800	1	994759	RMD_Relax_800k_1atm
800	0.75	994760	RMD_Relax_800k_0.75atm
800	0.5	994762	RMD_Relax_800k_0.5atm
800	0.25	994763	RMD_Relax_800k_0.25atm
800	0.1	994764	RMD_Relax_800k_0.1atm
800	0.05	994765	RMD_Relax_800k_0.05atm
900	10	994782	RMD_Relax_900k_10atm
900	7.5	994783	RMD_Relax_900k_7.5atm
900	5	994784	RMD_Relax_900k_5atm
900	2.5	994785	RMD_Relax_900k_2.5atm
900	1	994786	RMD_Relax_900k_1atm
900	0.75	994787	RMD_Relax_900k_0.75atm
900	0.5	994788	RMD_Relax_900k_0.5atm
900	0.25	994789	RMD_Relax_900k_0.25atm
900	0.1	994790	RMD_Relax_900k_0.1atm
900	0.05	994791	RMD_Relax_900k_0.05atm
1000	10	994792	RMD_Relax_1000k_10atm
1000	7.5	994793	RMD_Relax_1000k_7.5atm
1000	5	994794	RMD_Relax_1000k_5atm
1000	2.5	994795	RMD_Relax_1000k_2.5atm
1000	1	994796	RMD_Relax_1000k_1atm
1000	0.75	994797	RMD_Relax_1000k_0.75atm
1000	0.5	994800	RMD_Relax_1000k_0.5atm
1000	0.25	994801	RMD_Relax_1000k_0.25atm
1000	0.1	994803	RMD_Relax_1000k_0.1atm
1000	0.05	994804	RMD_Relax_1000k_0.05atm
