# All individual data points from all datasets
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
500	0.1 bar	-1.0000	2.0000	1.963988	27.817463	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.0000	2.0000	1.904110	24.115981	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.0000	2.0000	1.892134	25.688778	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.0000	2.0000	1.784355	27.041572	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.0000	2.0000	1.904110	24.408283	RMD_Relax_500k_0.1atm
500	0.25 bar	-0.6021	2.0000	2.023865	25.120227	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.6021	2.0000	1.892134	25.913547	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.6021	2.0000	2.011890	24.750189	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.6021	2.0000	2.023865	25.264274	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.6021	2.0000	1.844232	26.226725	RMD_Relax_500k_0.25atm
500	0.5 bar	-0.3010	2.0000	2.011890	24.912737	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.3010	2.0000	2.047816	24.308050	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.3010	2.0000	1.904110	25.432257	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.3010	2.0000	1.844232	25.797407	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.3010	2.0000	1.987939	24.347263	RMD_Relax_500k_0.5atm
500	0.75 bar	-0.1249	2.0000	1.928061	25.410203	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.1249	2.0000	1.975963	24.680210	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.1249	2.0000	2.119670	23.650929	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.1249	2.0000	1.952012	24.942921	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.1249	2.0000	2.107694	25.407372	RMD_Relax_500k_0.75atm
500	1 bar	0.0000	2.0000	1.808306	26.003100	RMD_Relax_500k_1atm
500	1 bar	0.0000	2.0000	1.880159	23.645002	RMD_Relax_500k_1atm
