# Statistical summary of averaged data
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage_avg(atom/nm²)	E_ads_avg(eV)	Desorption_rate(atom/(nm²·ps))
500	0.1 bar	-1.0000	2.0000	1.889739	25.814416	0.000001
500	0.25 bar	-0.6021	2.0000	1.959197	25.454993	0.000001
500	0.5 bar	-0.3010	2.0000	1.959197	24.959543	0.000001
500	0.75 bar	-0.1249	2.0000	2.016680	24.818327	0.000001
500	1 bar	0.0000	2.0000	1.980753	24.950091	0.000001
500	2.5 bar	0.3979	2.0000	1.942432	25.209490	0.000001
500	5 bar	0.6990	2.0000	1.937641	24.282584	0.000001
500	7.5 bar	0.8751	2.0000	1.925666	24.833821	0.000001
500	10 bar	1.0000	2.0000	2.007100	24.376928	0.000001
600	0.1 bar	-1.0000	1.6667	1.732122	31.454197	0.000001
600	0.25 bar	-0.6021	1.6667	1.739309	30.913399	0.000001
600	0.5 bar	-0.3010	1.6667	1.859096	29.123579	0.000001
600	0.75 bar	-0.1249	1.6667	1.787224	29.769563	0.000001
600	1 bar	0.0000	1.6667	1.813577	29.227433	0.000001
600	2.5 bar	0.3979	1.6667	1.775245	30.521673	0.000001
600	5 bar	0.6990	1.6667	1.880658	28.617110	0.000001
600	7.5 bar	0.8751	1.6667	1.875866	29.652878	0.000001
600	10 bar	1.0000	1.6667	1.952530	29.127623	0.000001
700	0.1 bar	-1.0000	1.4286	1.570563	32.188892	0.000001
700	0.25 bar	-0.6021	1.4286	1.525074	32.060061	0.000001
700	0.5 bar	-0.3010	1.4286	1.601687	30.930943	0.000001
700	0.75 bar	-0.1249	1.4286	1.584928	31.359183	0.000001
700	1 bar	0.0000	1.4286	1.616052	31.149687	0.000001
700	2.5 bar	0.3979	1.4286	1.699847	30.226310	0.000001
700	5 bar	0.6990	1.4286	1.651964	30.821220	0.000001
700	7.5 bar	0.8751	1.4286	1.668723	31.020918	0.000001
700	10 bar	1.0000	1.4286	1.726183	29.747608	0.000001
800	0.1 bar	-1.0000	1.2500	1.572303	33.446755	0.000001
800	0.25 bar	-0.6021	1.2500	1.656063	32.299546	0.000001
800	0.5 bar	-0.3010	1.2500	1.670422	31.885735	0.000001
800	0.75 bar	-0.1249	1.2500	1.706319	31.306710	0.000001
800	1 bar	0.0000	1.2500	1.694353	31.693678	0.000001
800	2.5 bar	0.3979	1.2500	1.766148	30.642200	0.000001
800	5 bar	0.6990	1.2500	1.718285	31.386260	0.000001
800	7.5 bar	0.8751	1.2500	1.866661	29.958200	0.000001
800	10 bar	1.0000	1.2500	1.866661	30.416388	0.000001
900	0.1 bar	-1.0000	1.1111	1.488237	35.145778	0.000001
900	0.25 bar	-0.6021	1.1111	1.516948	35.422990	0.000001
900	0.5 bar	-0.3010	1.1111	1.555231	35.408032	0.000001
900	0.75 bar	-0.1249	1.1111	1.567194	35.476589	0.000001
900	1 bar	0.0000	1.1111	1.504985	35.148794	0.000001
900	2.5 bar	0.3979	1.1111	1.617440	33.719129	0.000001
900	5 bar	0.6990	1.1111	1.612655	33.807468	0.000001
900	7.5 bar	0.8751	1.1111	1.622226	34.416760	0.000001
900	10 bar	1.0000	1.1111	1.612655	34.616542	0.000001
1000	0.1 bar	-1.0000	1.0000	1.197360	35.557101	0.000001
1000	0.25 bar	-0.6021	1.0000	1.300332	36.018358	0.000001
1000	0.5 bar	-0.3010	1.0000	1.266806	33.890279	0.000001
1000	0.75 bar	-0.1249	1.0000	1.329069	33.997712	0.000001
1000	1 bar	0.0000	1.0000	1.338648	33.665085	0.000001
1000	2.5 bar	0.3979	1.0000	1.384148	33.048163	0.000001
1000	5 bar	0.6990	1.0000	1.408095	32.778148	0.000001
1000	7.5 bar	0.8751	1.0000	1.403305	32.270912	0.000001
1000	10 bar	1.0000	1.0000	1.381753	32.258443	0.000001
