# Averaged time series data from multiple datasets
# Note: Adsorption energy has been multiplied by -1
# Temperature(K)	Pressure	Time(ps)	Coverage(atom/nm²)	E_ads_per_O(eV)
500	1 bar	0.0000	1.980753	19.960028
500	1 bar	0.2000	1.980753	23.029998
500	1 bar	0.4000	1.980753	23.329579
500	1 bar	0.6000	1.980753	23.221450
500	1 bar	0.8000	1.980753	23.310618
500	1 bar	1.0000	1.980753	23.647593
500	1 bar	1.2000	1.980753	23.700975
500	1 bar	1.4000	1.980753	23.524120
500	1 bar	1.6000	1.980753	23.688157
500	1 bar	1.8000	1.980753	23.985359
500	1 bar	2.0000	1.980753	23.888528
500	1 bar	2.2000	1.980753	23.643916
500	1 bar	2.4000	1.980753	23.866345
500	1 bar	2.6000	1.980753	24.150179
500	1 bar	2.8000	1.980753	23.985286
500	1 bar	3.0000	1.980753	23.774704
500	1 bar	3.2000	1.980753	24.012693
500	1 bar	3.4000	1.980753	24.275728
500	1 bar	3.6000	1.980753	24.042413
500	1 bar	3.8000	1.980753	23.930836
500	1 bar	4.0000	1.980753	24.235863
500	1 bar	4.2000	1.980753	24.354065
500	1 bar	4.4000	1.980753	24.113971
500	1 bar	4.6000	1.980753	24.080467
500	1 bar	4.8000	1.980753	24.368494
500	1 bar	5.0000	1.980753	24.435128
500	1 bar	5.2000	1.980753	24.206993
500	1 bar	5.4000	1.980753	24.217690
500	1 bar	5.6000	1.980753	24.490684
500	1 bar	5.8000	1.980753	24.463689
500	1 bar	6.0000	1.980753	24.281939
500	1 bar	6.2000	1.980753	24.365780
500	1 bar	6.4000	1.980753	24.644662
500	1 bar	6.6000	1.980753	24.537406
500	1 bar	6.8000	1.980753	24.381727
500	1 bar	7.0000	1.980753	24.459683
500	1 bar	7.2000	1.980753	24.631810
500	1 bar	7.4000	1.980753	24.527989
500	1 bar	7.6000	1.980753	24.469266
500	1 bar	7.8000	1.980753	24.555669
500	1 bar	8.0000	1.980753	24.684900
500	1 bar	8.2000	1.980753	24.531147
500	1 bar	8.4000	1.980753	24.457459
500	1 bar	8.6000	1.980753	24.618408
500	1 bar	8.8000	1.980753	24.722456
500	1 bar	9.0000	1.980753	24.574819
500	1 bar	9.2000	1.980753	24.590001
500	1 bar	9.4000	1.980753	24.746656
500	1 bar	9.6000	1.980753	24.633144
500	1 bar	9.8000	1.980753	24.553626
500	1 bar	10.0000	1.980753	24.644481
500	1 bar	10.2000	1.980753	24.744121
500	1 bar	10.4000	1.980753	24.688719
500	1 bar	10.6000	1.980753	24.656396
500	1 bar	10.8000	1.980753	24.735678
500	1 bar	11.0000	1.980753	24.768053
500	1 bar	11.2000	1.980753	24.678895
