COMBINED RMD_Relax Analysis Statistics Summary
============================================================
Data from 3 datasets:
  - yxb_test_20241109_clean_2_20250921
  - yxb_test_20241109_clean_2_20250922
  - yxb_test_20241109_clean_2_20250923
============================================================
Note: Adsorption energy has been multiplied by -1
============================================================

AVERAGED DATA (for subplots a and b):
--------------------------------------------------
Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Desorption_rate(atom/(nm²·ps))
----------------------------------------------------------------------------------------------------
500	0.1 bar	-1.00	2.0000	1.8897	25.8144	0.000001
500	0.25 bar	-0.60	2.0000	1.9592	25.4550	0.000001
500	0.5 bar	-0.30	2.0000	1.9592	24.9595	0.000001
500	0.75 bar	-0.12	2.0000	2.0167	24.8183	0.000001
500	1 bar	0.00	2.0000	1.9808	24.9501	0.000001
500	2.5 bar	0.40	2.0000	1.9424	25.2095	0.000001
500	5 bar	0.70	2.0000	1.9376	24.2826	0.000001
500	7.5 bar	0.88	2.0000	1.9257	24.8338	0.000001
500	10 bar	1.00	2.0000	2.0071	24.3769	0.000001
600	0.1 bar	-1.00	1.6667	1.7321	31.4542	0.000001
600	0.25 bar	-0.60	1.6667	1.7393	30.9134	0.000001
600	0.5 bar	-0.30	1.6667	1.8591	29.1236	0.000001
600	0.75 bar	-0.12	1.6667	1.7872	29.7696	0.000001
600	1 bar	0.00	1.6667	1.8136	29.2274	0.000001
600	2.5 bar	0.40	1.6667	1.7752	30.5217	0.000001
600	5 bar	0.70	1.6667	1.8807	28.6171	0.000001
600	7.5 bar	0.88	1.6667	1.8759	29.6529	0.000001
600	10 bar	1.00	1.6667	1.9525	29.1276	0.000001
700	0.1 bar	-1.00	1.4286	1.5706	32.1889	0.000001
700	0.25 bar	-0.60	1.4286	1.5251	32.0601	0.000001
700	0.5 bar	-0.30	1.4286	1.6017	30.9309	0.000001
700	0.75 bar	-0.12	1.4286	1.5849	31.3592	0.000001
700	1 bar	0.00	1.4286	1.6161	31.1497	0.000001
700	2.5 bar	0.40	1.4286	1.6998	30.2263	0.000001
700	5 bar	0.70	1.4286	1.6520	30.8212	0.000001
700	7.5 bar	0.88	1.4286	1.6687	31.0209	0.000001
700	10 bar	1.00	1.4286	1.7262	29.7476	0.000001
800	0.1 bar	-1.00	1.2500	1.5723	33.4468	0.000001
800	0.25 bar	-0.60	1.2500	1.6561	32.2995	0.000001
800	0.5 bar	-0.30	1.2500	1.6704	31.8857	0.000001
800	0.75 bar	-0.12	1.2500	1.7063	31.3067	0.000001
800	1 bar	0.00	1.2500	1.6944	31.6937	0.000001
800	2.5 bar	0.40	1.2500	1.7661	30.6422	0.000001
800	5 bar	0.70	1.2500	1.7183	31.3863	0.000001
800	7.5 bar	0.88	1.2500	1.8667	29.9582	0.000001
800	10 bar	1.00	1.2500	1.8667	30.4164	0.000001
900	0.1 bar	-1.00	1.1111	1.4882	35.1458	0.000001
900	0.25 bar	-0.60	1.1111	1.5169	35.4230	0.000001
900	0.5 bar	-0.30	1.1111	1.5552	35.4080	0.000001
900	0.75 bar	-0.12	1.1111	1.5672	35.4766	0.000001
900	1 bar	0.00	1.1111	1.5050	35.1488	0.000001
900	2.5 bar	0.40	1.1111	1.6174	33.7191	0.000001
900	5 bar	0.70	1.1111	1.6127	33.8075	0.000001
900	7.5 bar	0.88	1.1111	1.6222	34.4168	0.000001
900	10 bar	1.00	1.1111	1.6127	34.6165	0.000001
1000	0.1 bar	-1.00	1.0000	1.1974	35.5571	0.000001
1000	0.25 bar	-0.60	1.0000	1.3003	36.0184	0.000001
1000	0.5 bar	-0.30	1.0000	1.2668	33.8903	0.000001
1000	0.75 bar	-0.12	1.0000	1.3291	33.9977	0.000001
1000	1 bar	0.00	1.0000	1.3386	33.6651	0.000001
1000	2.5 bar	0.40	1.0000	1.3841	33.0482	0.000001
1000	5 bar	0.70	1.0000	1.4081	32.7781	0.000001
1000	7.5 bar	0.88	1.0000	1.4033	32.2709	0.000001
1000	10 bar	1.00	1.0000	1.3818	32.2584	0.000001


INDIVIDUAL DATA POINTS (for subplot c): 270 points
--------------------------------------------------
Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
----------------------------------------------------------------------------------------------------
500	0.1 bar	-1.00	2.0000	1.9640	27.8175	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.00	2.0000	1.9041	24.1160	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.00	2.0000	1.8921	25.6888	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.00	2.0000	1.7844	27.0416	RMD_Relax_500k_0.1atm
500	0.1 bar	-1.00	2.0000	1.9041	24.4083	RMD_Relax_500k_0.1atm
500	0.25 bar	-0.60	2.0000	2.0239	25.1202	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.60	2.0000	1.8921	25.9135	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.60	2.0000	2.0119	24.7502	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.60	2.0000	2.0239	25.2643	RMD_Relax_500k_0.25atm
500	0.25 bar	-0.60	2.0000	1.8442	26.2267	RMD_Relax_500k_0.25atm
500	0.5 bar	-0.30	2.0000	2.0119	24.9127	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.30	2.0000	2.0478	24.3080	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.30	2.0000	1.9041	25.4323	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.30	2.0000	1.8442	25.7974	RMD_Relax_500k_0.5atm
500	0.5 bar	-0.30	2.0000	1.9879	24.3473	RMD_Relax_500k_0.5atm
500	0.75 bar	-0.12	2.0000	1.9281	25.4102	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.12	2.0000	1.9760	24.6802	RMD_Relax_500k_0.75atm
500	0.75 bar	-0.12	2.0000	2.1197	23.6509	RMD_Relax_500k_0.75atm
