# r(Angstrom) g(r)
0.016969 0.000000
0.050906 0.000000
0.084844 0.000000
0.118781 0.000000
0.152718 0.000000
0.186656 0.000000
0.220593 0.000000
0.254531 0.000000
0.288468 0.000000
0.322406 0.000000
0.356343 0.000000
0.390280 0.000000
0.424218 0.000000
0.458155 0.000000
0.492093 0.000000
0.526030 0.000000
0.559968 0.000000
0.593905 0.000000
0.627842 0.000000
0.661780 0.000000
0.695717 0.000000
0.729655 0.000000
0.763592 0.000000
0.797530 0.000000
0.831467 0.000000
0.865404 0.000000
0.899342 0.000000
0.933279 0.000000
0.967217 0.000000
1.001154 0.000000
1.035092 0.000000
1.069029 0.000000
1.102966 0.000000
1.136904 0.000000
1.170841 0.000000
1.204779 0.000000
1.238716 0.000000
1.272654 0.000000
1.306591 0.000000
1.340528 0.000000
1.374466 0.000000
1.408403 0.000000
1.442341 0.000000
1.476278 0.000000
1.510216 0.000000
1.544153 0.000000
1.578090 0.000000
1.612028 0.000000
1.645965 0.000000
1.679903 0.000000
1.713840 0.000000
1.747778 0.000000
1.781715 0.000000
1.815653 0.000000
1.849590 0.000000
1.883527 0.000000
1.917465 0.000000
1.951402 0.000000
1.985340 0.000000
2.019277 0.000000
2.053215 0.000000
2.087152 0.000000
2.121089 0.000000
2.155027 0.000000
2.188964 0.000000
2.222902 0.001778
2.256839 0.003449
2.290777 0.020088
2.324714 0.082899
2.358651 0.186326
2.392589 0.477246
2.426526 1.053302
2.460464 1.861705
2.494401 2.770030
2.528339 4.011269
2.562276 4.962758
2.596213 5.370812
2.630151 5.302947
2.664088 4.656286
2.698026 3.689108
2.731963 2.825925
2.765901 1.853312
2.799838 1.176635
2.833775 0.641040
2.867713 0.343956
2.901650 0.175282
2.935588 0.076452
2.969525 0.045825
3.003463 0.046743
3.037400 0.043800
3.071337 0.055875
3.105275 0.092011
3.139212 0.136386
3.173150 0.145698
3.207087 0.193875
3.241025 0.240013
3.274962 0.298950
3.308899 0.338582
3.342837 0.421359
3.376774 0.464549
3.410712 0.555029
3.444649 0.601152
3.478587 0.666431
3.512524 0.726239
3.546461 0.824855
3.580399 0.892208
3.614336 0.888308
3.648274 0.960959
3.682211 1.050876
3.716149 1.118917
3.750086 1.143731
3.784023 1.131897
3.817961 1.179359
3.851898 1.174655
3.885836 1.168770
3.919773 1.161198
3.953711 1.161579
3.987648 1.166199
4.021585 1.108035
4.055523 1.141376
4.089460 1.132491
4.123398 1.064843
4.157335 1.052612
4.191273 1.019632
4.225210 0.956572
4.259147 0.917176
4.293085 0.816940
4.327022 0.883467
4.360960 0.839284
4.394897 0.803632
4.428835 0.783302
4.462772 0.804073
4.496709 0.744628
4.530647 0.766895
4.564584 0.759328
4.598522 0.834983
4.632459 0.882149
4.666397 0.923826
4.700334 0.974947
4.734271 1.013147
4.768209 1.132848
4.802146 1.241457
4.836084 1.335649
4.870021 1.445623
4.903959 1.551704
4.937896 1.682845
4.971833 1.739908
5.005771 1.846108
5.039708 1.846576
5.073646 1.857446
5.107583 1.864497
5.141521 1.739609
5.175458 1.643406
5.209395 1.486757
5.243333 1.357337
5.277270 1.191685
5.311208 1.061283
5.345145 0.973134
5.379083 0.872850
5.413020 0.836456
5.446958 0.802379
5.480895 0.755627
5.514832 0.778128
5.548770 0.791179
5.582707 0.812875
5.616645 0.807815
5.650582 0.804193
5.684520 0.813378
5.718457 0.828198
5.752394 0.818720
5.786332 0.815178
5.820269 0.817110
5.854207 0.795616
5.888144 0.817636
5.922082 0.803032
5.956019 0.830804
5.989956 0.785671
6.023894 0.808556
6.057831 0.808857
6.091769 0.817861
6.125706 0.809760
6.159644 0.772615
6.193581 0.820047
6.227518 0.805018
6.261456 0.799228
6.295393 0.801273
6.329331 0.787879
6.363268 0.783403
6.397206 0.785416
6.431143 0.775450
6.465080 0.757662
6.499018 0.768072
6.532955 0.789752
6.566893 0.762665
6.600830 0.782061
6.634768 0.775478
6.668705 0.771951
6.702642 0.784685
6.736580 0.808544
6.770517 0.816556
