# r(Angstrom) g(r)
0.016969 0.000000
0.050906 0.000000
0.084844 0.000000
0.118781 0.000000
0.152718 0.000000
0.186656 0.000000
0.220593 0.000000
0.254531 0.000000
0.288468 0.000000
0.322406 0.000000
0.356343 0.000000
0.390280 0.000000
0.424218 0.000000
0.458155 0.000000
0.492093 0.000000
0.526030 0.000000
0.559968 0.000000
0.593905 0.000000
0.627842 0.000000
0.661780 0.000000
0.695717 0.000000
0.729655 0.000000
0.763592 0.000000
0.797530 0.000000
0.831467 0.000000
0.865404 0.000000
0.899342 0.000000
0.933279 0.000000
0.967217 0.000000
1.001154 0.000000
1.035092 0.000000
1.069029 0.000000
1.102966 0.000000
1.136904 0.000000
1.170841 0.000000
1.204779 0.000000
1.238716 0.000000
1.272654 0.000000
1.306591 0.000000
1.340528 0.000000
1.374466 0.000000
1.408403 0.000000
1.442341 0.037828
1.476278 0.561687
1.510216 3.197355
1.544153 9.853483
1.578090 17.720351
1.612028 18.523158
1.645965 13.180964
1.679903 6.531383
1.713840 2.577983
1.747778 0.727050
1.781715 0.126702
1.815653 0.050395
1.849590 0.002556
1.883527 0.000000
1.917465 0.000000
1.951402 0.000000
1.985340 0.000000
2.019277 0.000000
2.053215 0.000000
2.087152 0.000000
2.121089 0.000000
2.155027 0.000000
2.188964 0.000000
2.222902 0.000000
2.256839 0.000000
2.290777 0.000000
2.324714 0.000000
2.358651 0.000000
2.392589 0.000000
2.426526 0.000000
2.460464 0.000000
2.494401 0.000000
2.528339 0.000000
2.562276 0.000000
2.596213 0.000000
2.630151 0.000000
2.664088 0.000000
2.698026 0.000000
2.731963 0.000000
2.765901 0.000000
2.799838 0.000000
2.833775 0.000000
2.867713 0.000000
2.901650 0.001039
2.935588 0.003044
2.969525 0.003966
3.003463 0.004847
3.037400 0.007582
3.071337 0.015758
3.105275 0.011788
3.139212 0.034604
3.173150 0.033868
3.207087 0.063759
3.241025 0.091565
3.274962 0.112504
3.308899 0.186875
3.342837 0.234744
3.376774 0.316701
3.410712 0.416411
3.444649 0.526152
3.478587 0.599034
3.512524 0.744138
3.546461 0.883604
3.580399 1.075652
3.614336 1.255009
3.648274 1.362501
3.682211 1.556119
3.716149 1.662057
3.750086 1.875839
3.784023 1.949818
3.817961 2.004686
3.851898 2.128044
3.885836 2.058607
3.919773 2.130673
3.953711 2.173122
3.987648 2.129691
4.021585 2.151207
4.055523 2.226465
4.089460 2.270182
4.123398 2.338392
4.157335 2.377774
4.191273 2.390692
4.225210 2.286810
4.259147 2.091448
4.293085 2.018661
4.327022 1.795647
4.360960 1.558613
4.394897 1.432779
4.428835 1.245073
4.462772 1.202062
4.496709 1.126041
4.530647 1.074731
4.564584 1.069720
4.598522 1.065153
4.632459 1.027601
4.666397 1.004276
4.700334 1.015156
4.734271 0.967494
4.768209 0.965308
4.802146 0.934650
4.836084 0.886061
4.870021 0.868224
4.903959 0.836979
4.937896 0.790012
4.971833 0.730449
5.005771 0.705573
5.039708 0.643430
5.073646 0.606318
5.107583 0.517175
5.141521 0.485894
5.175458 0.460935
5.209395 0.404686
5.243333 0.385152
5.277270 0.341910
5.311208 0.344374
5.345145 0.328691
5.379083 0.332716
5.413020 0.359294
5.446958 0.378408
5.480895 0.375191
5.514832 0.411700
5.548770 0.451551
5.582707 0.488160
5.616645 0.539653
5.650582 0.563588
5.684520 0.638598
5.718457 0.708049
5.752394 0.796696
5.786332 0.864158
5.820269 0.927931
5.854207 1.013644
5.888144 1.086480
5.922082 1.128414
5.956019 1.179678
5.989956 1.218744
6.023894 1.332278
6.057831 1.360281
6.091769 1.397475
6.125706 1.383664
6.159644 1.432066
6.193581 1.467017
6.227518 1.466628
6.261456 1.511213
6.295393 1.507980
6.329331 1.551002
6.363268 1.537958
6.397206 1.549245
6.431143 1.475011
6.465080 1.446805
6.499018 1.404201
6.532955 1.351543
6.566893 1.287325
6.600830 1.224554
6.634768 1.135188
6.668705 1.082767
6.702642 0.983078
6.736580 0.907882
6.770517 0.844058
