# r(Angstrom) g(r)
0.016969 0.000000
0.050906 0.000000
0.084844 0.000000
0.118781 0.000000
0.152718 0.000000
0.186656 0.000000
0.220593 0.000000
0.254531 0.000000
0.288468 0.000000
0.322406 0.000000
0.356343 0.000000
0.390280 0.000000
0.424218 0.000000
0.458155 0.000000
0.492093 0.000000
0.526030 0.000000
0.559968 0.000000
0.593905 0.000000
0.627842 0.000000
0.661780 0.000000
0.695717 0.000000
0.729655 0.000000
0.763592 0.000000
0.797530 0.000000
0.831467 0.000000
0.865404 0.000000
0.899342 0.000000
0.933279 0.000000
0.967217 0.000000
1.001154 0.000000
1.035092 0.000000
1.069029 0.000000
1.102966 0.000000
1.136904 0.000000
1.170841 0.000000
1.204779 0.000000
1.238716 0.000000
1.272654 0.000000
1.306591 0.000000
1.340528 0.000000
1.374466 0.000000
1.408403 0.000000
1.442341 0.000000
1.476278 0.000000
1.510216 0.000000
1.544153 0.000000
1.578090 0.000000
1.612028 0.000000
1.645965 0.000000
1.679903 0.000000
1.713840 0.000000
1.747778 0.000000
1.781715 0.000000
1.815653 0.000000
1.849590 0.000000
1.883527 0.000000
1.917465 0.000000
1.951402 0.000000
1.985340 0.000000
2.019277 0.000000
2.053215 0.000000
2.087152 0.000000
2.121089 0.000000
2.155027 0.000000
2.188964 0.000000
2.222902 0.000000
2.256839 0.000000
2.290777 0.000000
2.324714 0.000000
2.358651 0.000000
2.392589 0.000000
2.426526 0.000000
2.460464 0.000000
2.494401 0.000000
2.528339 0.000000
2.562276 0.000000
2.596213 0.000000
2.630151 0.000000
2.664088 0.000000
2.698026 0.000000
2.731963 0.004730
2.765901 0.009229
2.799838 0.031524
2.833775 0.057150
2.867713 0.163123
2.901650 0.343816
2.935588 0.741466
2.969525 1.317118
3.003463 2.175871
3.037400 3.531836
3.071337 4.707912
3.105275 5.908894
3.139212 6.204536
3.173150 4.999668
3.207087 3.809818
3.241025 2.638201
3.274962 1.369253
3.308899 0.683552
3.342837 0.217982
3.376774 0.086688
3.410712 0.045520
3.444649 0.008926
3.478587 0.000000
3.512524 0.000000
3.546461 0.000000
3.580399 0.000000
3.614336 0.000000
3.648274 0.000000
3.682211 0.000000
3.716149 0.005113
3.750086 0.002510
3.784023 0.000000
3.817961 0.002422
3.851898 0.007138
3.885836 0.011690
3.919773 0.025274
3.953711 0.040650
3.987648 0.077703
4.021585 0.096042
4.055523 0.137369
4.089460 0.232201
4.123398 0.350897
4.157335 0.498382
4.191273 0.653122
4.225210 0.864147
4.259147 1.052821
4.293085 1.218207
4.327022 1.419775
4.360960 1.494289
4.394897 1.811252
4.428835 1.949182
4.462772 1.953327
4.496709 2.208532
4.530647 2.075820
4.564584 2.114535
4.598522 2.028349
4.632459 1.954322
4.666397 1.856286
4.700334 1.912668
4.734271 1.879044
4.768209 1.819784
4.802146 1.934992
4.836084 1.930571
4.870021 1.967762
4.903959 1.989063
4.937896 2.044342
4.971833 2.130779
5.005771 2.100576
5.039708 2.027903
5.073646 1.914467
5.107583 1.752434
5.141521 1.637231
5.175458 1.422089
5.209395 1.234509
5.243333 1.047799
5.277270 0.932958
5.311208 0.853494
5.345145 0.793266
5.379083 0.767427
5.413020 0.786750
5.446958 0.862646
5.480895 0.915456
5.514832 0.969225
5.548770 1.127101
5.582707 1.158747
5.616645 1.180596
5.650582 1.309086
5.684520 1.340478
5.718457 1.267398
5.752394 1.251421
5.786332 1.082846
5.820269 0.922274
5.854207 0.770492
5.888144 0.601774
5.922082 0.396598
5.956019 0.315464
5.989956 0.175136
6.023894 0.144955
6.057831 0.086579
6.091769 0.044711
6.125706 0.020697
6.159644 0.014887
6.193581 0.008283
6.227518 0.015475
6.261456 0.019810
6.295393 0.037412
6.329331 0.040536
6.363268 0.067133
6.397206 0.093164
6.431143 0.137421
6.465080 0.168921
6.499018 0.201430
6.532955 0.277095
6.566893 0.345458
6.600830 0.426989
6.634768 0.491600
6.668705 0.579486
6.702642 0.634139
6.736580 0.759231
6.770517 0.811708
