# r(Angstrom) g(r)
0.016469 0.000000
0.049408 0.000000
0.082346 0.000000
0.115285 0.000000
0.148223 0.000000
0.181162 0.000000
0.214101 0.000000
0.247039 0.000000
0.279978 0.000000
0.312916 0.000000
0.345855 0.000000
0.378793 0.000000
0.411732 0.000000
0.444670 0.000000
0.477609 0.000000
0.510548 0.000000
0.543486 0.000000
0.576425 0.000000
0.609363 0.000000
0.642302 0.000000
0.675240 0.000000
0.708179 0.000000
0.741117 0.000000
0.774056 0.000000
0.806995 0.000000
0.839933 0.000000
0.872872 0.000000
0.905810 0.000000
0.938749 0.000000
0.971687 0.000000
1.004626 0.000000
1.037564 0.000000
1.070503 0.000000
1.103442 0.000000
1.136380 0.000000
1.169319 0.000000
1.202257 0.000000
1.235196 0.000000
1.268134 0.000000
1.301073 0.000000
1.334011 0.000000
1.366950 0.000000
1.399889 0.000000
1.432827 0.004157
1.465766 0.046751
1.498704 0.487866
1.531643 2.178474
1.564581 7.364076
1.597520 13.439828
1.630458 15.670946
1.663397 13.411251
1.696336 8.426122
1.729274 3.940356
1.762213 1.477080
1.795151 0.599481
1.828090 0.192997
1.861028 0.033755
1.893967 0.009405
1.926905 0.000000
1.959844 0.000000
1.992782 0.000000
2.025721 0.000000
2.058660 0.000000
2.091598 0.000000
2.124537 0.000000
2.157475 0.000000
2.190414 0.000000
2.223352 0.000000
2.256291 0.000000
2.289229 0.000000
2.322168 0.000000
2.355107 0.000000
2.388045 0.000000
2.420984 0.000000
2.453922 0.000000
2.486861 0.000000
2.519799 0.000000
2.552738 0.000000
2.585676 0.000000
2.618615 0.000000
2.651554 0.001185
2.684492 0.000000
2.717431 0.000000
2.750369 0.000000
2.783308 0.002132
2.816246 0.008419
2.849185 0.007150
2.882123 0.005019
2.915062 0.018623
2.948001 0.024930
2.980939 0.026308
3.013878 0.060822
3.046816 0.087321
3.079755 0.148161
3.112693 0.218150
3.145632 0.286943
3.178570 0.401029
3.211509 0.537755
3.244448 0.647951
3.277386 0.784370
3.310325 0.961680
3.343263 1.081983
3.376202 1.255487
3.409140 1.402430
3.442079 1.423277
3.475017 1.467762
3.507956 1.522180
3.540895 1.484641
3.573833 1.408245
3.606772 1.386572
3.639710 1.269986
3.672649 1.276962
3.705587 1.224645
3.738526 1.275426
3.771464 1.273571
3.804403 1.343576
3.837341 1.380775
3.870280 1.497932
3.903219 1.682375
3.936157 1.793211
3.969096 1.909200
4.002034 1.982872
4.034973 2.121799
4.067911 2.262957
4.100850 2.294922
4.133788 2.355510
4.166727 2.258801
4.199666 2.246100
4.232604 2.133649
4.265543 1.908355
4.298481 1.694537
4.331420 1.542352
4.364358 1.402882
4.397297 1.222407
4.430235 1.043594
4.463174 1.002002
4.496113 0.931127
4.529051 0.868530
4.561990 0.806716
4.594928 0.741616
4.627867 0.708083
4.660805 0.712629
4.693744 0.671445
4.726682 0.620376
4.759621 0.628430
4.792560 0.584856
4.825498 0.608357
4.858437 0.562737
4.891375 0.595095
4.924314 0.607103
4.957252 0.597018
4.990191 0.619115
5.023129 0.667632
5.056068 0.639535
5.089007 0.663076
5.121945 0.685093
5.154884 0.677512
5.187822 0.646117
5.220761 0.651802
5.253699 0.580501
5.286638 0.586410
5.319576 0.555587
5.352515 0.537823
5.385454 0.543397
5.418392 0.547953
5.451331 0.548443
5.484269 0.595802
5.517208 0.635869
5.550146 0.686773
5.583085 0.750966
5.616023 0.851044
5.648962 0.937180
5.681900 1.065599
5.714839 1.161958
5.747778 1.211459
5.780716 1.295473
5.813655 1.345283
5.846593 1.366884
5.879532 1.376022
5.912470 1.405017
5.945409 1.363722
5.978347 1.343455
6.011286 1.243609
6.044225 1.156149
6.077163 1.120693
6.110102 1.085983
6.143040 1.018111
6.175979 1.011720
6.208917 0.980269
6.241856 1.011265
6.274794 1.030657
6.307733 1.041028
6.340672 1.074431
6.373610 1.156234
6.406549 1.192974
6.439487 1.213536
6.472426 1.229520
6.505364 1.265093
6.538303 1.262248
6.571241 1.229425
