# r(Angstrom) g(r)
0.016614 0.000000
0.049841 0.000000
0.083068 0.000000
0.116295 0.000000
0.149522 0.000000
0.182749 0.000000
0.215976 0.000000
0.249204 0.000000
0.282431 0.000000
0.315658 0.000000
0.348885 0.000000
0.382112 0.000000
0.415339 0.000000
0.448567 0.000000
0.481794 0.000000
0.515021 0.000000
0.548248 0.000000
0.581475 0.000000
0.614702 0.000000
0.647929 0.000000
0.681157 0.000000
0.714384 0.000000
0.747611 0.000000
0.780838 0.000000
0.814065 0.000000
0.847292 0.000000
0.880519 0.000000
0.913747 0.000000
0.946974 0.000000
0.980201 0.000000
1.013428 0.000000
1.046655 0.000000
1.079882 0.000000
1.113109 0.000000
1.146337 0.000000
1.179564 0.000000
1.212791 0.000000
1.246018 0.000000
1.279245 0.000000
1.312472 0.000000
1.345700 0.000000
1.378927 0.000000
1.412154 0.000000
1.445381 0.000000
1.478608 0.000000
1.511835 0.000000
1.545062 0.000000
1.578290 0.000000
1.611517 0.000000
1.644744 0.000000
1.677971 0.000000
1.711198 0.000000
1.744425 0.000000
1.777652 0.000000
1.810880 0.000000
1.844107 0.000000
1.877334 0.000000
1.910561 0.000000
1.943788 0.000000
1.977015 0.000000
2.010242 0.000000
2.043470 0.000000
2.076697 0.002041
2.109924 0.000000
2.143151 0.003836
2.176378 0.001791
2.209605 0.017840
2.242833 0.064155
2.276060 0.097454
2.309287 0.187732
2.342514 0.337497
2.375741 0.523074
2.408968 0.858734
2.442195 1.270093
2.475423 1.710303
2.508650 2.180593
2.541877 2.622648
2.575104 3.091105
2.608331 3.418246
2.641558 3.511007
2.674785 3.574835
2.708013 3.295287
2.741240 3.120423
2.774467 2.673488
2.807694 2.288953
2.840921 1.819076
2.874148 1.469961
2.907375 1.172806
2.940603 0.895520
2.973830 0.761777
3.007057 0.601370
3.040284 0.576242
3.073511 0.540349
3.106738 0.540000
3.139966 0.541899
3.173193 0.582646
3.206420 0.637947
3.239647 0.660185
3.272874 0.633133
3.306101 0.744211
3.339328 0.727502
3.372556 0.765592
3.405783 0.773415
3.439010 0.753656
3.472237 0.837234
3.505464 0.801374
3.538691 0.829041
3.571918 0.773354
3.605146 0.835504
3.638373 0.828919
3.671600 0.865681
3.704827 0.861285
3.738054 0.778691
3.771281 0.813376
3.804508 0.864170
3.837736 0.805667
3.870963 0.829573
3.904190 0.792076
3.937417 0.805292
3.970644 0.804985
4.003871 0.816656
4.037099 0.801017
4.070326 0.780723
4.103553 0.799044
4.136780 0.808037
4.170007 0.837157
4.203234 0.800469
4.236461 0.821538
4.269689 0.814585
4.302916 0.797844
4.336143 0.832834
4.369370 0.855798
4.402597 0.881143
4.435824 0.838752
4.469051 0.893331
4.502279 0.937973
4.535506 0.931138
4.568733 0.990376
4.601960 1.014432
4.635187 1.059404
4.668414 1.062658
4.701641 1.139142
4.734869 1.178080
4.768096 1.251429
4.801323 1.290939
4.834550 1.347591
4.867777 1.364318
4.901004 1.466395
4.934232 1.433940
4.967459 1.504831
5.000686 1.538645
5.033913 1.563151
5.067140 1.543276
5.100367 1.522433
5.133594 1.515194
5.166822 1.512412
5.200049 1.490319
5.233276 1.423606
5.266503 1.362989
5.299730 1.325662
5.332957 1.237403
5.366184 1.165409
5.399412 1.158850
5.432639 1.057529
5.465866 1.006026
5.499093 0.954270
5.532320 0.927780
5.565547 0.871455
5.598774 0.860968
5.632002 0.813742
5.665229 0.797404
5.698456 0.771085
5.731683 0.788996
5.764910 0.781854
5.798137 0.771792
5.831365 0.741224
5.864592 0.781794
5.897819 0.786059
5.931046 0.775685
5.964273 0.731228
5.997500 0.785231
6.030727 0.753247
6.063955 0.771989
6.097182 0.747113
6.130409 0.769791
6.163636 0.745647
6.196863 0.745583
6.230090 0.765336
6.263317 0.765178
6.296545 0.755411
6.329772 0.785197
6.362999 0.768127
6.396226 0.795925
6.429453 0.802862
6.462680 0.783358
6.495907 0.819770
6.529135 0.831634
6.562362 0.851389
6.595589 0.850884
6.628816 0.875213
