# r(Angstrom) g(r)
0.016548 0.000000
0.049644 0.000000
0.082741 0.000000
0.115837 0.000000
0.148933 0.000000
0.182030 0.000000
0.215126 0.000000
0.248222 0.000000
0.281318 0.000000
0.314415 0.000000
0.347511 0.000000
0.380607 0.000000
0.413703 0.000000
0.446800 0.000000
0.479896 0.000000
0.512992 0.000000
0.546089 0.000000
0.579185 0.000000
0.612281 0.000000
0.645377 0.000000
0.678474 0.000000
0.711570 0.000000
0.744666 0.000000
0.777763 0.000000
0.810859 0.000000
0.843955 0.000000
0.877051 0.000000
0.910148 0.000000
0.943244 0.000000
0.976340 0.000000
1.009437 0.000000
1.042533 0.000000
1.075629 0.000000
1.108725 0.000000
1.141822 0.000000
1.174918 0.000000
1.208014 0.000000
1.241110 0.000000
1.274207 0.000000
1.307303 0.000000
1.340399 0.000000
1.373496 0.000000
1.406592 0.000000
1.439688 0.000000
1.472784 0.000000
1.505881 0.000000
1.538977 0.000000
1.572073 0.000000
1.605170 0.000000
1.638266 0.000000
1.671362 0.000000
1.704458 0.000000
1.737555 0.000000
1.770651 0.000000
1.803747 0.000000
1.836843 0.000000
1.869940 0.000000
1.903036 0.000000
1.936132 0.000000
1.969229 0.000000
2.002325 0.000000
2.035421 0.000000
2.068517 0.000000
2.101614 0.000000
2.134710 0.000000
2.167806 0.000000
2.200903 0.000000
2.233999 0.000000
2.267095 0.000000
2.300191 0.000000
2.333288 0.000000
2.366384 0.000000
2.399480 0.000000
2.432577 0.000000
2.465673 0.000000
2.498769 0.000000
2.531865 0.000000
2.564962 0.000000
2.598058 0.000000
2.631154 0.000000
2.664250 0.005617
2.697347 0.004055
2.730443 0.022428
2.763539 0.047871
2.796636 0.151270
2.829732 0.320016
2.862828 0.574943
2.895924 1.073591
2.929021 1.778494
2.962117 2.681919
2.995213 3.767731
3.028310 4.632590
3.061406 5.070659
3.094502 4.954492
3.127598 4.456853
3.160695 3.691588
3.193791 2.609221
3.226887 1.613016
3.259984 0.941795
3.293080 0.492928
3.326176 0.221373
3.359272 0.078745
3.392369 0.022408
3.425465 0.007385
3.458561 0.001878
3.491657 0.000991
3.524754 0.000000
3.557850 0.000000
3.590946 0.000000
3.624043 0.000000
3.657139 0.000000
3.690235 0.000251
3.723331 0.001108
3.756428 0.002563
3.789524 0.006549
3.822620 0.010918
3.855717 0.016184
3.888813 0.044557
3.921909 0.079893
3.955005 0.117720
3.988102 0.189504
4.021198 0.273432
4.054294 0.388502
4.087390 0.539324
4.120487 0.703150
4.153583 0.934004
4.186679 1.132312
4.219776 1.436033
4.252872 1.601338
4.285968 1.761441
4.319064 1.957710
4.352161 2.068807
4.385257 2.136646
4.418353 2.132216
4.451450 2.036321
4.484546 1.939597
4.517642 1.834686
4.550738 1.713411
4.583835 1.620136
4.616931 1.565465
4.650027 1.552440
4.683124 1.589404
4.716220 1.604452
4.749316 1.719214
4.782412 1.826896
4.815509 1.968822
4.848605 2.030201
4.881701 2.200554
4.914797 2.232095
4.947894 2.201722
4.980990 2.079475
5.014086 1.956462
5.047183 1.821173
5.080279 1.660451
5.113375 1.494238
5.146471 1.312704
5.179568 1.187820
5.212664 1.088546
5.245760 0.998852
5.278857 1.001423
5.311953 1.007989
5.345049 1.052187
5.378145 1.069319
5.411242 1.016968
5.444338 1.014539
5.477434 0.983901
5.510530 0.922825
5.543627 0.864469
5.576723 0.775283
5.609819 0.744365
5.642916 0.704684
5.676012 0.675509
5.709108 0.720861
5.742204 0.716502
5.775301 0.700140
5.808397 0.623022
5.841493 0.547331
5.874590 0.477406
5.907686 0.392970
5.940782 0.301356
5.973878 0.217586
6.006975 0.143015
6.040071 0.096652
6.073167 0.068947
6.106264 0.050187
6.139360 0.037106
6.172456 0.041212
6.205552 0.070512
6.238649 0.096585
6.271745 0.130979
6.304841 0.155442
6.337937 0.204768
6.371034 0.255524
6.404130 0.326486
6.437226 0.390899
6.470323 0.440341
6.503419 0.503501
6.536515 0.537891
6.569611 0.611938
6.602708 0.666324
