# r(Angstrom) g(r)
0.016740 0.000000
0.050219 0.000000
0.083699 0.000000
0.117178 0.000000
0.150658 0.000000
0.184137 0.000000
0.217617 0.000000
0.251096 0.000000
0.284576 0.000000
0.318055 0.000000
0.351535 0.000000
0.385014 0.000000
0.418494 0.000000
0.451973 0.000000
0.485453 0.000000
0.518933 0.000000
0.552412 0.000000
0.585892 0.000000
0.619371 0.000000
0.652851 0.000000
0.686330 0.000000
0.719810 0.000000
0.753289 0.000000
0.786769 0.000000
0.820248 0.000000
0.853728 0.000000
0.887207 0.000000
0.920687 0.000000
0.954166 0.000000
0.987646 0.000000
1.021125 0.000000
1.054605 0.000000
1.088084 0.000000
1.121564 0.000000
1.155043 0.000000
1.188523 0.000000
1.222002 0.000000
1.255482 0.000000
1.288961 0.000000
1.322441 0.000000
1.355920 0.000000
1.389400 0.005033
1.422880 0.064422
1.456359 0.365147
1.489839 1.419223
1.523318 3.736113
1.556798 7.199154
1.590277 10.305334
1.623757 11.904750
1.657236 11.038169
1.690716 8.832769
1.724195 6.263381
1.757675 3.962620
1.791154 2.272070
1.824634 1.211839
1.858113 0.651442
1.891593 0.307050
1.925072 0.141034
1.958552 0.071242
1.992031 0.030512
2.025511 0.008636
2.058990 0.004127
2.092470 0.002510
2.125949 0.001869
2.159429 0.001907
2.192908 0.001943
2.226388 0.000809
2.259867 0.000262
2.293347 0.000000
2.326827 0.000000
2.360306 0.000000
2.393786 0.000381
2.427265 0.000593
2.460745 0.000360
2.494224 0.001403
2.527704 0.000954
2.561183 0.000731
2.594663 0.002444
2.628142 0.002649
2.661622 0.001968
2.695101 0.007711
2.728581 0.008934
2.762060 0.009781
2.795540 0.013418
2.829019 0.018617
2.862499 0.021225
2.895978 0.025221
2.929458 0.034144
2.962937 0.050502
2.996417 0.071528
3.029896 0.090934
3.063376 0.117441
3.096855 0.138170
3.130335 0.168991
3.163814 0.204614
3.197294 0.242817
3.230773 0.297367
3.264253 0.345210
3.297733 0.413534
3.331212 0.489829
3.364692 0.563324
3.398171 0.637044
3.431651 0.706335
3.465130 0.813568
3.498610 0.914543
3.532089 1.022480
3.565569 1.103404
3.599048 1.199302
3.632528 1.285411
3.666007 1.391233
3.699487 1.498264
3.732966 1.569133
3.766446 1.661194
3.799925 1.749686
3.833405 1.819595
3.866884 1.914434
3.900364 1.984089
3.933843 2.062055
3.967323 2.150343
4.000802 2.197915
4.034282 2.219354
4.067761 2.260952
4.101241 2.270075
4.134720 2.279826
4.168200 2.203708
4.201680 2.119150
4.235159 2.028568
4.268639 1.915723
4.302118 1.787193
4.335598 1.646358
4.369077 1.500215
4.402557 1.349920
4.436036 1.243293
4.469516 1.152946
4.502995 1.093539
4.536475 1.028037
4.569954 0.953674
4.603434 0.920928
4.636913 0.873955
4.670393 0.841862
4.703872 0.810996
4.737352 0.794764
4.770831 0.779383
4.804311 0.752446
4.837790 0.721569
4.871270 0.707329
4.904749 0.683524
4.938229 0.670657
4.971708 0.667842
5.005188 0.653200
5.038667 0.621768
5.072147 0.611328
5.105627 0.596350
5.139106 0.590834
5.172586 0.577869
5.206065 0.562782
5.239545 0.565432
5.273024 0.567743
5.306504 0.554094
5.339983 0.535662
5.373463 0.536378
5.406942 0.545457
5.440422 0.556590
5.473901 0.558017
5.507381 0.575265
5.540860 0.600772
5.574340 0.618387
5.607819 0.646519
5.641299 0.694379
5.674778 0.735121
5.708258 0.775429
5.741737 0.807369
5.775217 0.871369
5.808696 0.929656
5.842176 0.973003
5.875655 1.037727
5.909135 1.091688
5.942614 1.142500
5.976094 1.187209
6.009573 1.226183
6.043053 1.251181
6.076533 1.274794
6.110012 1.313395
6.143492 1.335323
6.176971 1.348672
6.210451 1.381937
6.243930 1.370490
6.277410 1.378494
6.310889 1.375791
6.344369 1.374636
6.377848 1.363474
6.411328 1.346500
6.444807 1.305358
6.478287 1.273426
6.511766 1.246308
6.545246 1.215263
6.578725 1.176920
6.612205 1.141050
6.645684 1.102711
6.679164 1.065601
