# r(Angstrom) g(r)
0.016440 0.000000
0.049319 0.000000
0.082198 0.000000
0.115077 0.000000
0.147956 0.000000
0.180835 0.000000
0.213714 0.000000
0.246593 0.000000
0.279472 0.000000
0.312351 0.000000
0.345230 0.000000
0.378109 0.000000
0.410988 0.000000
0.443867 0.000000
0.476746 0.000000
0.509625 0.000000
0.542504 0.000000
0.575383 0.000000
0.608262 0.000000
0.641141 0.000000
0.674020 0.000000
0.706899 0.000000
0.739778 0.000000
0.772657 0.000000
0.805536 0.000000
0.838415 0.000000
0.871295 0.000000
0.904174 0.000000
0.937053 0.000000
0.969932 0.000000
1.002811 0.000000
1.035690 0.000000
1.068569 0.000000
1.101448 0.000000
1.134327 0.000000
1.167206 0.000000
1.200085 0.000000
1.232964 0.000000
1.265843 0.000000
1.298722 0.000000
1.331601 0.000000
1.364480 0.000000
1.397359 0.000000
1.430238 0.000000
1.463117 0.000000
1.495996 0.000000
1.528875 0.000000
1.561754 0.000000
1.594633 0.000000
1.627512 0.000000
1.660391 0.000000
1.693270 0.000000
1.726150 0.000000
1.759029 0.000000
1.791908 0.000000
1.824787 0.000000
1.857666 0.000000
1.890545 0.000000
1.923424 0.000000
1.956303 0.000000
1.989182 0.000000
2.022061 0.000000
2.054940 0.000000
2.087819 0.000000
2.120698 0.000000
2.153577 0.000000
2.186456 0.000000
2.219335 0.000000
2.252214 0.000000
2.285093 0.000000
2.317972 0.001018
2.350851 0.005452
2.383730 0.026989
2.416609 0.074997
2.449488 0.249611
2.482367 0.643134
2.515246 1.419639
2.548126 2.582494
2.581005 3.937782
2.613884 5.155545
2.646763 5.717687
2.679642 5.674748
2.712521 4.822877
2.745400 3.600590
2.778279 2.302999
2.811158 1.296892
2.844037 0.690021
2.876916 0.388143
2.909795 0.310017
2.942674 0.315200
2.975553 0.391199
3.008432 0.483542
3.041311 0.576980
3.074190 0.698934
3.107069 0.771922
3.139948 0.846222
3.172827 0.950093
3.205706 1.055403
3.238585 1.078503
3.271464 1.113969
3.304343 1.161373
3.337222 1.190788
3.370101 1.201388
3.402981 1.148726
3.435860 1.132042
3.468739 1.065726
3.501618 1.060568
3.534497 0.984216
3.567376 0.901686
3.600255 0.845694
3.633134 0.809873
3.666013 0.715360
3.698892 0.670287
3.731771 0.615270
3.764650 0.563927
3.797529 0.587870
3.830408 0.585253
3.863287 0.609934
3.896166 0.651991
3.929045 0.658636
3.961924 0.713716
3.994803 0.743121
4.027682 0.774448
4.060561 0.775722
4.093440 0.776034
4.126319 0.743937
4.159198 0.695543
4.192077 0.638522
4.224956 0.596821
4.257836 0.531266
4.290715 0.491682
4.323594 0.434705
4.356473 0.410309
4.389352 0.416780
4.422231 0.428293
4.455110 0.474281
4.487989 0.533156
4.520868 0.626355
4.553747 0.713007
4.586626 0.819766
4.619505 0.919387
4.652384 1.054781
4.685263 1.183341
4.718142 1.323070
4.751021 1.461105
4.783900 1.603885
4.816779 1.724634
4.849658 1.807060
4.882537 1.819889
4.915416 1.831292
4.948295 1.800678
4.981174 1.756441
5.014053 1.715048
5.046932 1.673370
5.079811 1.689557
5.112691 1.674821
5.145570 1.699312
5.178449 1.714197
5.211328 1.684043
5.244207 1.609698
5.277086 1.492620
5.309965 1.364140
5.342844 1.253907
5.375723 1.157274
5.408602 1.057418
5.441481 0.971199
5.474360 0.917944
5.507239 0.870304
5.540118 0.837816
5.572997 0.817327
5.605876 0.784187
5.638755 0.773462
5.671634 0.766595
5.704513 0.764141
5.737392 0.756371
5.770271 0.755690
5.803150 0.768743
5.836029 0.786168
5.868908 0.785166
5.901787 0.800182
5.934666 0.806676
5.967546 0.812451
6.000425 0.788362
6.033304 0.765199
6.066183 0.745571
6.099062 0.721549
6.131941 0.686152
6.164820 0.638978
6.197699 0.617909
6.230578 0.596891
6.263457 0.576420
6.296336 0.564607
6.329215 0.570254
6.362094 0.580775
6.394973 0.603518
6.427852 0.628887
6.460731 0.660252
6.493610 0.699528
6.526489 0.732480
6.559368 0.761453
