# r(Angstrom) g(r)
0.016613 0.000000
0.049839 0.000000
0.083065 0.000000
0.116291 0.000000
0.149517 0.000000
0.182743 0.000000
0.215969 0.000000
0.249195 0.000000
0.282421 0.000000
0.315647 0.000000
0.348873 0.000000
0.382099 0.000000
0.415325 0.000000
0.448551 0.000000
0.481777 0.000000
0.515003 0.000000
0.548229 0.000000
0.581455 0.000000
0.614681 0.000000
0.647907 0.000000
0.681133 0.000000
0.714359 0.000000
0.747586 0.000000
0.780812 0.000000
0.814038 0.000000
0.847264 0.000000
0.880490 0.000000
0.913716 0.000000
0.946942 0.000000
0.980168 0.000000
1.013394 0.000000
1.046620 0.000000
1.079846 0.000000
1.113072 0.000000
1.146298 0.000000
1.179524 0.000000
1.212750 0.000000
1.245976 0.000000
1.279202 0.000000
1.312428 0.000000
1.345654 0.000000
1.378880 0.000000
1.412106 0.000000
1.445332 0.000000
1.478558 0.000000
1.511784 0.000000
1.545010 0.000000
1.578236 0.000000
1.611462 0.000000
1.644688 0.000000
1.677914 0.000000
1.711140 0.000000
1.744366 0.000000
1.777592 0.000000
1.810818 0.000000
1.844044 0.000000
1.877270 0.000000
1.910496 0.000000
1.943722 0.000000
1.976948 0.000000
2.010174 0.000000
2.043400 0.000000
2.076626 0.000000
2.109852 0.000000
2.143078 0.000000
2.176304 0.000000
2.209531 0.003499
2.242757 0.018670
2.275983 0.069207
2.309209 0.227306
2.342435 0.564860
2.375661 1.171294
2.408887 2.046099
2.442113 3.064459
2.475339 3.908315
2.508565 4.633323
2.541791 4.812431
2.575017 4.637764
2.608243 4.037651
2.641469 3.142683
2.674695 2.555473
2.707921 2.019863
2.741147 1.485927
2.774373 1.046640
2.807599 0.788806
2.840825 0.526998
2.874051 0.372203
2.907277 0.246484
2.940503 0.219347
2.973729 0.198877
3.006955 0.165232
3.040181 0.142253
3.073407 0.159022
3.106633 0.194618
3.139859 0.207844
3.173085 0.236586
3.206311 0.288276
3.239537 0.324684
3.272763 0.367460
3.305989 0.397787
3.339215 0.502441
3.372441 0.525482
3.405667 0.575123
3.438893 0.652142
3.472119 0.689907
3.505345 0.773601
3.538571 0.800240
3.571797 0.908468
3.605023 0.975919
3.638249 1.022915
3.671476 1.073429
3.704702 1.103474
3.737928 1.134872
3.771154 1.208411
3.804380 1.242377
3.837606 1.184314
3.870832 1.242064
3.904058 1.224493
3.937284 1.227041
3.970510 1.207256
4.003736 1.173823
4.036962 1.153555
4.070188 1.084690
4.103414 1.031878
4.136640 0.956756
4.169866 0.930497
4.203092 0.904589
4.236318 0.882001
4.269544 0.851391
4.302770 0.804999
4.335996 0.771925
4.369222 0.749715
4.402448 0.736723
4.435674 0.794721
4.468900 0.811341
4.502126 0.824578
4.535352 0.902299
4.568578 0.931012
4.601804 1.041342
4.635030 1.092421
4.668256 1.188305
4.701482 1.238390
4.734708 1.353605
4.767934 1.459254
4.801160 1.548456
4.834386 1.601361
4.867612 1.698445
4.900838 1.702018
4.934064 1.748331
4.967290 1.746557
5.000516 1.668683
5.033742 1.628517
5.066968 1.564850
5.100194 1.444656
5.133421 1.343549
5.166647 1.197375
5.199873 1.102531
5.233099 1.051919
5.266325 0.983703
5.299551 0.920499
5.332777 0.879006
5.366003 0.846040
5.399229 0.842143
5.432455 0.822232
5.465681 0.796093
5.498907 0.840933
5.532133 0.803740
5.565359 0.826935
5.598585 0.807246
5.631811 0.800868
5.665037 0.806627
5.698263 0.803104
5.731489 0.807350
5.764715 0.812683
5.797941 0.811044
5.831167 0.813054
5.864393 0.798231
5.897619 0.816986
5.930845 0.798687
5.964071 0.791760
5.997297 0.808145
6.030523 0.800554
6.063749 0.796134
6.096975 0.820123
6.130201 0.798908
6.163427 0.821985
6.196653 0.801233
6.229879 0.814976
6.263105 0.799992
6.296331 0.792648
6.329557 0.784115
6.362783 0.778245
6.396009 0.797289
6.429235 0.772776
6.462461 0.782893
6.495687 0.749318
6.528913 0.768603
6.562139 0.772707
6.595366 0.773585
6.628592 0.777686
