# r(Angstrom) g(r)
0.016592 0.000000
0.049775 0.000000
0.082959 0.000000
0.116142 0.000000
0.149326 0.000000
0.182509 0.000000
0.215693 0.000000
0.248877 0.000000
0.282060 0.000000
0.315244 0.000000
0.348427 0.000000
0.381611 0.000000
0.414794 0.000000
0.447978 0.000000
0.481161 0.000000
0.514345 0.000000
0.547528 0.000000
0.580712 0.000000
0.613896 0.000000
0.647079 0.000000
0.680263 0.000000
0.713446 0.000000
0.746630 0.000000
0.779813 0.000000
0.812997 0.000000
0.846180 0.000000
0.879364 0.000000
0.912547 0.000000
0.945731 0.000000
0.978915 0.000000
1.012098 0.000000
1.045282 0.000000
1.078465 0.000000
1.111649 0.000000
1.144832 0.000000
1.178016 0.000000
1.211199 0.000000
1.244383 0.000000
1.277566 0.000000
1.310750 0.000000
1.343934 0.000000
1.377117 0.000000
1.410301 0.000000
1.443484 0.000000
1.476668 0.000000
1.509851 0.000000
1.543035 0.000000
1.576218 0.000000
1.609402 0.000000
1.642585 0.000000
1.675769 0.000000
1.708953 0.000000
1.742136 0.000000
1.775320 0.000000
1.808503 0.000000
1.841687 0.000000
1.874870 0.000000
1.908054 0.000000
1.941237 0.000000
1.974421 0.000000
2.007604 0.000000
2.040788 0.000000
2.073971 0.000000
2.107155 0.000000
2.140339 0.000000
2.173522 0.000000
2.206706 0.000000
2.239889 0.000000
2.273073 0.000000
2.306256 0.000000
2.339440 0.000000
2.372623 0.000000
2.405807 0.000000
2.438990 0.000000
2.472174 0.000000
2.505358 0.000000
2.538541 0.000000
2.571725 0.000000
2.604908 0.000000
2.638092 0.000000
2.671275 0.000000
2.704459 0.000000
2.737642 0.000000
2.770826 0.022335
2.804009 0.047979
2.837193 0.123427
2.870377 0.307678
2.903560 0.878470
2.936744 1.824864
2.969927 3.575454
3.003111 5.218849
3.036294 5.297203
3.069478 5.026684
3.102661 4.314332
3.135845 3.438781
3.169028 2.735008
3.202212 2.094685
3.235396 1.487749
3.268579 0.941024
3.301763 0.682723
3.334946 0.431887
3.368130 0.226843
3.401313 0.136463
3.434497 0.107428
3.467680 0.025683
3.500864 0.033578
3.534047 0.010977
3.567231 0.005396
3.600414 0.021202
3.633598 0.020796
3.666782 0.017866
3.699965 0.045001
3.733149 0.076180
3.766332 0.084411
3.799516 0.118701
3.832699 0.125910
3.865883 0.148896
3.899066 0.261629
3.932250 0.312428
3.965433 0.313898
3.998617 0.420070
4.031801 0.554430
4.064984 0.587163
4.098168 0.808307
4.131351 0.869751
4.164535 1.012001
4.197718 1.054533
4.230902 1.287153
4.264085 1.466836
4.297269 1.479722
4.330452 1.632378
4.363636 1.565387
4.396820 1.798654
4.430003 1.827866
4.463187 1.862537
4.496370 2.005178
4.529554 1.875427
4.562737 1.892519
4.595921 1.896737
4.629104 1.830892
4.662288 1.830052
4.695471 1.864871
4.728655 1.933951
4.761839 1.822131
4.795022 1.817376
4.828206 1.912745
4.861389 1.889312
4.894573 1.875530
4.927756 1.653950
4.960940 1.609293
4.994123 1.682788
5.027307 1.582294
5.060490 1.509476
5.093674 1.439574
5.126858 1.344222
5.160041 1.242947
5.193225 1.192571
5.226408 1.041942
5.259592 1.027258
5.292775 1.024653
5.325959 1.000733
5.359142 0.980142
5.392326 1.002041
5.425509 1.040260
5.458693 1.064708
5.491876 1.041537
5.525060 1.047969
5.558244 1.082517
5.591427 1.088367
5.624611 0.979105
5.657794 0.985511
5.690978 0.926634
5.724161 0.873846
5.757345 0.661366
5.790528 0.620936
5.823712 0.504767
5.856895 0.471658
5.890079 0.362866
5.923263 0.309837
5.956446 0.233910
5.989630 0.207392
6.022813 0.154044
6.055997 0.134576
6.089180 0.140482
6.122364 0.104216
6.155547 0.130216
6.188731 0.104631
6.221914 0.114117
6.255098 0.171723
6.288282 0.212367
6.321465 0.236861
6.354649 0.259019
6.387832 0.294855
6.421016 0.346569
6.454199 0.379271
6.487383 0.475825
6.520566 0.504550
6.553750 0.624122
6.586933 0.610057
6.620117 0.686124
