# r(Angstrom) g(r)
0.016692 0.000000
0.050075 0.000000
0.083459 0.000000
0.116842 0.000000
0.150226 0.000000
0.183609 0.000000
0.216993 0.000000
0.250376 0.000000
0.283760 0.000000
0.317143 0.000000
0.350527 0.000000
0.383910 0.000000
0.417294 0.000000
0.450677 0.000000
0.484061 0.000000
0.517444 0.000000
0.550828 0.000000
0.584211 0.000000
0.617595 0.000000
0.650978 0.000000
0.684362 0.000000
0.717745 0.000000
0.751129 0.000000
0.784512 0.000000
0.817896 0.000000
0.851279 0.000000
0.884663 0.000000
0.918046 0.000000
0.951430 0.000000
0.984813 0.000000
1.018197 0.000000
1.051580 0.000000
1.084964 0.000000
1.118347 0.000000
1.151731 0.000000
1.185114 0.000000
1.218498 0.000000
1.251881 0.000000
1.285265 0.000000
1.318648 0.000000
1.352032 0.000000
1.385415 0.000000
1.418799 0.000000
1.452182 0.004016
1.485566 1.062613
1.518949 8.223678
1.552333 21.173003
1.585716 24.736244
1.619100 13.473118
1.652483 4.110804
1.685867 0.783360
1.719250 0.077620
1.752634 0.002774
1.786017 0.000000
1.819401 0.000000
1.852784 0.000000
1.886168 0.000000
1.919551 0.000000
1.952935 0.000000
1.986318 0.000000
2.019702 0.000000
2.053085 0.000000
2.086469 0.000000
2.119852 0.000000
2.153235 0.000000
2.186619 0.000000
2.220002 0.000000
2.253386 0.000000
2.286769 0.000000
2.320153 0.000000
2.353536 0.000000
2.386920 0.000000
2.420303 0.000000
2.453687 0.000000
2.487070 0.000000
2.520454 0.000000
2.553837 0.000000
2.587221 0.000000
2.620604 0.000000
2.653988 0.000000
2.687371 0.000000
2.720755 0.000000
2.754138 0.000000
2.787522 0.000000
2.820905 0.000000
2.854289 0.000000
2.887672 0.000000
2.921056 0.000000
2.954439 0.000000
2.987823 0.000000
3.021206 0.000000
3.054590 0.000913
3.087973 0.000000
3.121357 0.000869
3.154740 0.001705
3.188124 0.006697
3.221507 0.011449
3.254891 0.020064
3.288274 0.032211
3.321658 0.071611
3.355041 0.110959
3.388425 0.210221
3.421808 0.314127
3.455192 0.412876
3.488575 0.638940
3.521959 0.833583
3.555342 1.099669
3.588726 1.394130
3.622109 1.606288
3.655493 1.908453
3.688876 2.053421
3.722260 2.189501
3.755643 2.356227
3.789027 2.379489
3.822410 2.366035
3.855794 2.265282
3.889177 2.174714
3.922561 2.158741
3.955944 2.232838
3.989328 2.299829
4.022711 2.587415
4.056095 2.816621
4.089478 2.919776
4.122862 2.844718
4.156245 2.648810
4.189629 2.261528
4.223012 1.970945
4.256396 1.664415
4.289779 1.447824
4.323163 1.219466
4.356546 1.089431
4.389930 1.001468
4.423313 0.906020
4.456697 0.908640
4.490080 0.848891
4.523464 0.870466
4.556847 0.887222
4.590231 0.912258
4.623614 0.946068
4.656998 0.998440
4.690381 1.036031
4.723765 1.064933
4.757148 1.067978
4.790532 1.100539
4.823915 1.058313
4.857299 0.970774
4.890682 0.874710
4.924066 0.802673
4.957449 0.712020
4.990833 0.602847
5.024216 0.501924
5.057600 0.404365
5.090983 0.338369
5.124367 0.275012
5.157750 0.216570
5.191134 0.171185
5.224517 0.190206
5.257901 0.189938
5.291284 0.227302
5.324668 0.276603
5.358051 0.338301
5.391435 0.391665
5.424818 0.439770
5.458202 0.478941
5.491585 0.536508
5.524969 0.529825
5.558352 0.545462
5.591736 0.565594
5.625119 0.540878
5.658503 0.599241
5.691886 0.656246
5.725270 0.705381
5.758653 0.806841
5.792037 0.867752
5.825420 1.036395
5.858804 1.110204
5.892187 1.250211
5.925571 1.338956
5.958954 1.390896
5.992338 1.462104
6.025721 1.565332
6.059105 1.602524
6.092488 1.733967
6.125872 1.778610
6.159255 1.808448
6.192639 1.848783
6.226022 1.807919
6.259406 1.757414
6.292789 1.713595
6.326172 1.520236
6.359556 1.426159
6.392939 1.320090
6.426323 1.216366
6.459706 1.223549
6.493090 1.156924
6.526473 1.128006
6.559857 1.098346
6.593240 1.028274
6.626624 0.947549
6.660007 0.853788
