Method,Temperature,Si-O (Å),Si-Si (Å),O-O (Å),O-Si-O (°),Si-O-Si (°)
PBE,500K,1.635 ± 0.038,3.053 ± 0.068,2.668 ± 0.086,109.4 ± 4.9,138.7 ± 6.6
PBE,1000K,1.640 ± 0.055,3.081 ± 0.100,2.685 ± 0.132,109.3 ± 6.8,141.2 ± 10.6
PBE,1500K,1.646 ± 0.070,3.109 ± 0.126,2.689 ± 0.154,109.2 ± 8.4,143.9 ± 13.0
PBE,2000K,1.655 ± 0.083,3.127 ± 0.141,2.709 ± 0.183,109.2 ± 9.7,144.3 ± 13.9
DeePMD,500K,1.636 ± 0.039,3.040 ± 0.065,3.252 ± 0.553,109.4 ± 4.7,136.9 ± 5.9
DeePMD,1000K,1.642 ± 0.056,3.062 ± 0.096,2.684 ± 0.125,109.3 ± 6.7,138.6 ± 9.3
DeePMD,1500K,1.647 ± 0.071,3.101 ± 0.124,2.702 ± 0.166,109.2 ± 8.4,142.7 ± 12.8
DeePMD,2000K,1.654 ± 0.084,3.114 ± 0.140,2.719 ± 0.191,109.2 ± 9.6,143.1 ± 14.0
ReaxFF,500K,1.580 ± 0.038,3.076 ± 0.053,2.575 ± 0.087,109.3 ± 5.5,154.6 ± 7.9
ReaxFF,1000K,1.591 ± 0.053,3.079 ± 0.074,2.589 ± 0.131,109.1 ± 8.2,152.7 ± 10.3
ReaxFF,1500K,1.602 ± 0.068,3.084 ± 0.092,2.602 ± 0.158,108.9 ± 10.0,150.9 ± 12.0
ReaxFF,2000K,1.612 ± 0.079,3.088 ± 0.107,2.622 ± 0.187,108.8 ± 11.4,149.3 ± 13.1
BKS,500K,1.607 ± 0.036,3.125 ± 0.062,2.621 ± 0.078,109.4 ± 4.6,154.0 ± 7.4
BKS,1000K,1.610 ± 0.052,3.128 ± 0.090,2.625 ± 0.106,109.4 ± 6.1,154.5 ± 10.0
BKS,1500K,1.616 ± 0.066,3.131 ± 0.108,2.633 ± 0.127,109.3 ± 7.2,153.6 ± 11.1
BKS,2000K,1.621 ± 0.077,3.135 ± 0.124,2.643 ± 0.145,109.3 ± 8.1,152.9 ± 11.8
