Method,Temperature,Si-O (Å),O-Si-O (degree),Si-O-Si (degree)
Experiment,,1.614,109.2,143.7
PBE,500K,1.635 ± 0.038,109.4 ± 4.9,138.7 ± 6.6
PBE,1000K,1.640 ± 0.055,109.3 ± 6.8,141.2 ± 10.6
PBE,1500K,1.646 ± 0.070,109.2 ± 8.4,143.9 ± 13.0
PBE,2000K,1.655 ± 0.083,109.2 ± 9.7,144.3 ± 13.9
DeePMD,500K,1.636 ± 0.039,109.4 ± 4.7,136.9 ± 5.9
DeePMD,1000K,1.642 ± 0.056,109.3 ± 6.7,138.6 ± 9.3
DeePMD,1500K,1.647 ± 0.071,109.2 ± 8.4,142.7 ± 12.8
DeePMD,2000K,1.654 ± 0.084,109.2 ± 9.6,143.1 ± 14.0
ReaxFF,500K,1.580 ± 0.038,109.3 ± 5.5,154.6 ± 7.9
ReaxFF,1000K,1.591 ± 0.053,109.1 ± 8.2,152.7 ± 10.3
ReaxFF,1500K,1.602 ± 0.068,108.9 ± 10.0,150.9 ± 12.0
ReaxFF,2000K,1.612 ± 0.079,108.8 ± 11.4,149.3 ± 13.1
BKS,500K,1.607 ± 0.036,109.4 ± 4.6,154.0 ± 7.4
BKS,1000K,1.610 ± 0.052,109.4 ± 6.1,154.5 ± 10.0
BKS,1500K,1.616 ± 0.066,109.3 ± 7.2,153.6 ± 11.1
BKS,2000K,1.621 ± 0.077,109.3 ± 8.1,152.9 ± 11.8
