File_Path,Type,Bond/Angle,Mean,Std,Count,Unit
dft_PBE/2000k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.655,0.083,432000,Angstrom
dft_PBE/2000k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.127,0.141,216245,Angstrom
dft_PBE/2000k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.709,0.183,709934,Angstrom
dft_PBE/2000k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.2,9.7,648000,degrees
dft_PBE/2000k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,144.3,13.9,216000,degrees
dft_PBE/500k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.635,0.038,432000,Angstrom
dft_PBE/500k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.053,0.068,216000,Angstrom
dft_PBE/500k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.668,0.086,656261,Angstrom
dft_PBE/500k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.4,4.9,648000,degrees
dft_PBE/500k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,138.7,6.6,216000,degrees
dft_PBE/1500k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.646,0.07,432000,Angstrom
dft_PBE/1500k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.109,0.126,216023,Angstrom
dft_PBE/1500k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.689,0.154,689689,Angstrom
dft_PBE/1500k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.2,8.4,648000,degrees
dft_PBE/1500k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,143.9,13.0,216000,degrees
dft_PBE/1000k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.64,0.055,432000,Angstrom
dft_PBE/1000k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.081,0.1,216000,Angstrom
dft_PBE/1000k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.685,0.132,689210,Angstrom
dft_PBE/1000k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.3,6.8,648000,degrees
dft_PBE/1000k/cp2k_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,141.2,10.6,216000,degrees
dp_20241109_clean_2/2000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.654,0.084,21599,Angstrom
dp_20241109_clean_2/2000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.114,0.14,10802,Angstrom
dp_20241109_clean_2/2000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.719,0.191,36792,Angstrom
dp_20241109_clean_2/2000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.2,9.6,32397,degrees
dp_20241109_clean_2/2000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,143.1,14.0,10799,degrees
dp_20241109_clean_2/500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.636,0.039,21600,Angstrom
dp_20241109_clean_2/500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.04,0.065,10800,Angstrom
dp_20241109_clean_2/500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,3.252,0.553,84286,Angstrom
dp_20241109_clean_2/500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.4,4.7,32400,degrees
dp_20241109_clean_2/500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,136.9,5.9,10800,degrees
dp_20241109_clean_2/1500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.647,0.071,21600,Angstrom
dp_20241109_clean_2/1500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.101,0.124,10803,Angstrom
dp_20241109_clean_2/1500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.702,0.166,35687,Angstrom
dp_20241109_clean_2/1500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.2,8.4,32400,degrees
dp_20241109_clean_2/1500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,142.7,12.8,10800,degrees
