# r(Angstrom) g(r)
0.016671 0.000000
0.050012 0.000000
0.083353 0.000000
0.116695 0.000000
0.150036 0.000000
0.183378 0.000000
0.216719 0.000000
0.250060 0.000000
0.283402 0.000000
0.316743 0.000000
0.350084 0.000000
0.383426 0.000000
0.416767 0.000000
0.450108 0.000000
0.483450 0.000000
0.516791 0.000000
0.550133 0.000000
0.583474 0.000000
0.616815 0.000000
0.650157 0.000000
0.683498 0.000000
0.716839 0.000000
0.750181 0.000000
0.783522 0.000000
0.816863 0.000000
0.850205 0.000000
0.883546 0.000000
0.916888 0.000000
0.950229 0.000000
0.983570 0.000000
1.016912 0.000000
1.050253 0.000000
1.083594 0.000000
1.116936 0.000000
1.150277 0.000000
1.183618 0.000000
1.216960 0.000000
1.250301 0.000000
1.283643 0.000000
1.316984 0.000000
1.350325 0.000000
1.383667 0.000000
1.417008 0.000000
1.450349 0.000000
1.483691 0.000000
1.517032 0.000000
1.550374 0.000000
1.583715 0.000000
1.617056 0.000000
1.650398 0.000000
1.683739 0.000000
1.717080 0.000000
1.750422 0.000000
1.783763 0.000000
1.817104 0.000000
1.850446 0.000000
1.883787 0.000000
1.917129 0.000000
1.950470 0.000000
1.983811 0.000000
2.017153 0.000000
2.050494 0.000000
2.083835 0.000198
2.117177 0.001161
2.150518 0.004820
2.183859 0.010957
2.217201 0.030993
2.250542 0.051716
2.283884 0.117119
2.317225 0.223858
2.350566 0.404656
2.383908 0.628534
2.417249 0.941306
2.450590 1.375604
2.483932 1.840447
2.517273 2.337745
2.550614 2.859278
2.583956 3.207542
2.617297 3.545298
2.650639 3.623882
2.683980 3.533807
2.717321 3.276355
2.750663 2.965558
2.784004 2.593590
2.817345 2.107464
2.850687 1.701320
2.884028 1.355217
2.917370 1.039494
2.950711 0.796949
2.984052 0.657182
3.017394 0.554723
3.050735 0.506672
3.084076 0.512088
3.117418 0.520622
3.150759 0.522907
3.184100 0.543973
3.217442 0.563428
3.250783 0.588868
3.284125 0.657611
3.317466 0.679105
3.350807 0.706326
3.384149 0.714487
3.417490 0.746979
3.450831 0.753687
3.484173 0.794444
3.517514 0.786221
3.550855 0.800726
3.584197 0.811761
3.617538 0.826208
3.650880 0.837760
3.684221 0.834350
3.717562 0.846165
3.750904 0.848749
3.784245 0.843180
3.817586 0.846431
3.850928 0.824271
3.884269 0.819126
3.917610 0.829615
3.950952 0.831520
3.984293 0.822406
4.017635 0.821420
4.050976 0.818031
4.084317 0.824210
4.117659 0.840399
4.151000 0.838725
4.184341 0.822989
4.217683 0.835524
4.251024 0.837367
4.284365 0.846051
4.317707 0.867996
4.351048 0.871456
4.384390 0.879157
4.417731 0.902208
4.451072 0.929369
4.484414 0.944267
4.517755 0.946648
4.551096 0.972952
4.584438 1.002862
4.617779 1.034613
4.651121 1.049990
4.684462 1.121366
4.717803 1.179184
4.751145 1.231999
4.784486 1.259226
4.817827 1.311724
4.851169 1.336688
4.884510 1.389732
4.917851 1.432330
4.951193 1.460624
4.984534 1.480995
5.017876 1.522589
5.051217 1.549653
5.084558 1.549007
5.117900 1.526184
5.151241 1.499566
5.184582 1.458576
5.217924 1.427516
5.251265 1.379137
5.284606 1.313230
5.317948 1.258090
5.351289 1.210697
5.384631 1.160158
5.417972 1.089834
5.451313 1.024193
5.484655 0.970633
5.517996 0.928773
5.551337 0.892751
5.584679 0.864087
5.618020 0.832864
5.651361 0.816118
5.684703 0.803071
5.718044 0.795311
5.751386 0.779035
5.784727 0.778329
5.818068 0.763936
5.851410 0.766093
5.884751 0.770666
5.918092 0.775813
5.951434 0.764214
5.984775 0.764649
6.018117 0.759511
6.051458 0.753841
6.084799 0.745918
6.118141 0.736432
6.151482 0.743481
6.184823 0.744480
6.218165 0.745450
6.251506 0.756863
6.284847 0.767381
6.318189 0.780353
6.351530 0.797990
6.384872 0.806130
6.418213 0.809936
6.451554 0.808239
6.484896 0.823338
6.518237 0.832722
6.551578 0.838526
6.584920 0.847302
6.618261 0.866043
6.651602 0.875971
