# r(Angstrom) g(r)
0.016671 0.000000
0.050012 0.000000
0.083353 0.000000
0.116695 0.000000
0.150036 0.000000
0.183378 0.000000
0.216719 0.000000
0.250060 0.000000
0.283402 0.000000
0.316743 0.000000
0.350084 0.000000
0.383426 0.000000
0.416767 0.000000
0.450108 0.000000
0.483450 0.000000
0.516791 0.000000
0.550133 0.000000
0.583474 0.000000
0.616815 0.000000
0.650157 0.000000
0.683498 0.000000
0.716839 0.000000
0.750181 0.000000
0.783522 0.000000
0.816863 0.000000
0.850205 0.000000
0.883546 0.000000
0.916888 0.000000
0.950229 0.000000
0.983570 0.000000
1.016912 0.000000
1.050253 0.000000
1.083594 0.000000
1.116936 0.000000
1.150277 0.000000
1.183618 0.000000
1.216960 0.000000
1.250301 0.000000
1.283643 0.000000
1.316984 0.000000
1.350325 0.000000
1.383667 0.000000
1.417008 0.004756
1.450349 0.086909
1.483691 0.658809
1.517032 2.518039
1.550374 6.438312
1.583715 10.844604
1.617056 13.568995
1.650398 12.882548
1.683739 9.807259
1.717080 6.437742
1.750422 3.478342
1.783763 1.692600
1.817104 0.749521
1.850446 0.307427
1.883787 0.105650
1.917129 0.039615
1.950470 0.015693
1.983811 0.005963
2.017153 0.000211
2.050494 0.000000
2.083835 0.000000
2.117177 0.000000
2.150518 0.000000
2.183859 0.000000
2.217201 0.000000
2.250542 0.000000
2.283884 0.000000
2.317225 0.000000
2.350566 0.000000
2.383908 0.000000
2.417249 0.000000
2.450590 0.000000
2.483932 0.000000
2.517273 0.000000
2.550614 0.000457
2.583956 0.000445
2.617297 0.000248
2.650639 0.000662
2.683980 0.001898
2.717321 0.004510
2.750663 0.004063
2.784004 0.007859
2.817345 0.009179
2.850687 0.015727
2.884028 0.026466
2.917370 0.032451
2.950711 0.044882
2.984052 0.063412
3.017394 0.073415
3.050735 0.098055
3.084076 0.117517
3.117418 0.153986
3.150759 0.194757
3.184100 0.239544
3.217442 0.294305
3.250783 0.353608
3.284125 0.417669
3.317466 0.494531
3.350807 0.578470
3.384149 0.654554
3.417490 0.732340
3.450831 0.818884
3.484173 0.903140
3.517514 1.011072
3.550855 1.127598
3.584197 1.217737
3.617538 1.306946
3.650880 1.377132
3.684221 1.464355
3.717562 1.548317
3.750904 1.661959
3.784245 1.760415
3.817586 1.834643
3.850928 1.892547
3.884269 2.002887
3.917610 2.086879
3.950952 2.151996
3.984293 2.220299
4.017635 2.270879
4.050976 2.326683
4.084317 2.324640
4.117659 2.322110
4.151000 2.274623
4.184341 2.165573
4.217683 2.067937
4.251024 1.943290
4.284365 1.805599
4.317707 1.646404
4.351048 1.486941
4.384390 1.366883
4.417731 1.231968
4.451072 1.117894
4.484414 1.030957
4.517755 0.970819
4.551096 0.935201
4.584438 0.882171
4.617779 0.846918
4.651121 0.815536
4.684462 0.788690
4.717803 0.761455
4.751145 0.744910
4.784486 0.715000
4.817827 0.691812
4.851169 0.683933
4.884510 0.673272
4.917851 0.669904
4.951193 0.654827
4.984534 0.633241
5.017876 0.627121
5.051217 0.605624
5.084558 0.614802
5.117900 0.599937
5.151241 0.596768
5.184582 0.580771
5.217924 0.582131
5.251265 0.574198
5.284606 0.564954
5.317948 0.550018
5.351289 0.549475
5.384631 0.548490
5.417972 0.558147
5.451313 0.570922
5.484655 0.571137
5.517996 0.582214
5.551337 0.608927
5.584679 0.650243
5.618020 0.676896
5.651361 0.716252
5.684703 0.777901
5.718044 0.832409
5.751386 0.876764
5.784727 0.932407
5.818068 0.980442
5.851410 1.042686
5.884751 1.085490
5.918092 1.143615
5.951434 1.199870
5.984775 1.232313
6.018117 1.264266
6.051458 1.291701
6.084799 1.302613
6.118141 1.324847
6.151482 1.336596
6.184823 1.361072
6.218165 1.348804
6.251506 1.360911
6.284847 1.375475
6.318189 1.376637
6.351530 1.353889
6.384872 1.335525
6.418213 1.318761
6.451554 1.309025
6.484896 1.261597
6.518237 1.230690
6.551578 1.203141
6.584920 1.155375
6.618261 1.111015
6.651602 1.066253
