# r(Angstrom) g(r)
0.016740 0.000000
0.050219 0.000000
0.083699 0.000000
0.117178 0.000000
0.150658 0.000000
0.184137 0.000000
0.217617 0.000000
0.251096 0.000000
0.284576 0.000000
0.318055 0.000000
0.351535 0.000000
0.385014 0.000000
0.418494 0.000000
0.451973 0.000000
0.485453 0.000000
0.518933 0.000000
0.552412 0.000000
0.585892 0.000000
0.619371 0.000000
0.652851 0.000000
0.686330 0.000000
0.719810 0.000000
0.753289 0.000000
0.786769 0.000000
0.820248 0.000000
0.853728 0.000000
0.887207 0.000000
0.920687 0.000000
0.954166 0.000000
0.987646 0.000000
1.021125 0.000000
1.054605 0.000000
1.088084 0.000000
1.121564 0.000000
1.155043 0.000000
1.188523 0.000000
1.222002 0.000000
1.255482 0.000000
1.288961 0.000000
1.322441 0.000000
1.355920 0.000000
1.389400 0.000000
1.422880 0.000000
1.456359 0.000000
1.489839 0.000000
1.523318 0.000000
1.556798 0.000000
1.590277 0.000000
1.623757 0.000000
1.657236 0.000000
1.690716 0.000000
1.724195 0.000000
1.757675 0.000000
1.791154 0.000000
1.824634 0.000000
1.858113 0.000000
1.891593 0.000000
1.925072 0.000000
1.958552 0.000000
1.992031 0.000000
2.025511 0.000000
2.058990 0.000000
2.092470 0.000000
2.125949 0.000000
2.159429 0.000000
2.192908 0.000000
2.226388 0.000000
2.259867 0.000000
2.293347 0.000000
2.326827 0.000000
2.360306 0.000000
2.393786 0.000000
2.427265 0.000000
2.460745 0.000000
2.494224 0.000000
2.527704 0.000000
2.561183 0.000000
2.594663 0.005534
2.628142 0.020293
2.661622 0.045605
2.695101 0.074039
2.728581 0.135501
2.762060 0.224960
2.795540 0.359215
2.829019 0.512705
2.862499 0.725284
2.895978 1.076039
2.929458 1.472905
2.962937 1.972480
2.996417 2.456893
3.029896 2.945951
3.063376 3.438422
3.096855 3.682728
3.130335 3.741526
3.163814 3.691172
3.197294 3.406180
3.230773 2.883097
3.264253 2.144886
3.297733 1.595252
3.331212 1.092450
3.364692 0.685259
3.398171 0.450218
3.431651 0.272451
3.465130 0.150098
3.498610 0.077590
3.532089 0.042444
3.565569 0.023052
3.599048 0.020281
3.632528 0.009702
3.666007 0.010139
3.699487 0.009029
3.732966 0.020239
3.766446 0.029845
3.799925 0.046708
3.833405 0.064048
3.866884 0.085820
3.900364 0.095261
3.933843 0.143406
3.967323 0.209555
4.000802 0.278863
4.034282 0.351991
4.067761 0.428660
4.101241 0.513163
4.134720 0.652738
4.168200 0.804279
4.201680 0.952308
4.235159 1.091081
4.268639 1.200402
4.302118 1.344828
4.335598 1.450485
4.369077 1.560090
4.402557 1.606361
4.436036 1.731516
4.469516 1.768199
4.502995 1.824320
4.536475 1.827467
4.569954 1.885970
4.603434 1.912417
4.636913 1.948004
4.670393 1.951929
4.703872 1.901005
4.737352 1.870417
4.770831 1.906749
4.804311 1.905689
4.837790 1.880464
4.871270 1.885122
4.904749 1.899088
4.938229 1.930248
4.971708 1.843781
5.005188 1.842904
5.038667 1.711715
5.072147 1.616024
5.105627 1.607147
5.139106 1.505825
5.172586 1.388138
5.206065 1.290346
5.239545 1.212100
5.273024 1.160697
5.306504 1.080903
5.339983 1.038995
5.373463 1.004089
5.406942 0.977053
5.440422 0.972937
5.473901 0.984107
5.507381 0.983551
5.540860 0.989590
5.574340 1.044001
5.607819 1.105327
5.641299 1.081869
5.674778 1.043620
5.708258 1.024306
5.741737 0.953967
5.775217 0.890451
5.808696 0.820569
5.842176 0.722901
5.875655 0.635781
5.909135 0.528952
5.942614 0.432609
5.976094 0.362870
6.009573 0.301413
6.043053 0.223331
6.076533 0.178778
6.110012 0.135124
6.143492 0.114350
6.176971 0.096412
6.210451 0.095420
6.243930 0.097594
6.277410 0.107389
6.310889 0.121984
6.344369 0.141361
6.377848 0.164953
6.411328 0.198613
6.444807 0.237078
6.478287 0.288252
6.511766 0.356838
6.545246 0.393297
6.578725 0.440948
6.612205 0.498843
6.645684 0.561006
6.679164 0.631670
