# r(Angstrom) g(r)
0.016469 0.000000
0.049408 0.000000
0.082346 0.000000
0.115285 0.000000
0.148223 0.000000
0.181162 0.000000
0.214101 0.000000
0.247039 0.000000
0.279978 0.000000
0.312916 0.000000
0.345855 0.000000
0.378793 0.000000
0.411732 0.000000
0.444670 0.000000
0.477609 0.000000
0.510548 0.000000
0.543486 0.000000
0.576425 0.000000
0.609363 0.000000
0.642302 0.000000
0.675240 0.000000
0.708179 0.000000
0.741117 0.000000
0.774056 0.000000
0.806995 0.000000
0.839933 0.000000
0.872872 0.000000
0.905810 0.000000
0.938749 0.000000
0.971687 0.000000
1.004626 0.000000
1.037564 0.000000
1.070503 0.000000
1.103442 0.000000
1.136380 0.000000
1.169319 0.000000
1.202257 0.000000
1.235196 0.000000
1.268134 0.000000
1.301073 0.000000
1.334011 0.000000
1.366950 0.000000
1.399889 0.000000
1.432827 0.000000
1.465766 0.000000
1.498704 0.000000
1.531643 0.000000
1.564581 0.000000
1.597520 0.000000
1.630458 0.000000
1.663397 0.000000
1.696336 0.000000
1.729274 0.000000
1.762213 0.000000
1.795151 0.000000
1.828090 0.000000
1.861028 0.000000
1.893967 0.000000
1.926905 0.000000
1.959844 0.000000
1.992782 0.000000
2.025721 0.000000
2.058660 0.000000
2.091598 0.000000
2.124537 0.000000
2.157475 0.000000
2.190414 0.000000
2.223352 0.000000
2.256291 0.000000
2.289229 0.000000
2.322168 0.000000
2.355107 0.000000
2.388045 0.000000
2.420984 0.000000
2.453922 0.000000
2.486861 0.000000
2.519799 0.000000
2.552738 0.000000
2.585676 0.000000
2.618615 0.000000
2.651554 0.000000
2.684492 0.009347
2.717431 0.022798
2.750369 0.035595
2.783308 0.104554
2.816246 0.255308
2.849185 0.515135
2.882123 1.140760
2.915062 1.760453
2.948001 2.769382
2.980939 3.800616
3.013878 5.159958
3.046816 5.082975
3.079755 5.133080
3.112693 4.587608
3.145632 3.489593
3.178570 2.362893
3.211509 1.337486
3.244448 0.896508
3.277386 0.406564
3.310325 0.098727
3.343263 0.045348
3.376202 0.014886
3.409140 0.011655
3.442079 0.000000
3.475017 0.000000
3.507956 0.000000
3.540895 0.000000
3.573833 0.000000
3.606772 0.000000
3.639710 0.000000
3.672649 0.000000
3.705587 0.002429
3.738526 0.002407
3.771464 0.002342
3.804403 0.018620
3.837341 0.022904
3.870280 0.042743
3.903219 0.061960
3.936157 0.143731
3.969096 0.190354
4.002034 0.273724
4.034973 0.373081
4.067911 0.586692
4.100850 0.760260
4.133788 0.999730
4.166727 1.129840
4.199666 1.563550
4.232604 1.790264
4.265543 2.094469
4.298481 2.196163
4.331420 2.330188
4.364358 2.417720
4.397297 2.060963
4.430235 2.100667
4.463174 1.766539
4.496113 1.670479
4.529051 1.523780
4.561990 1.376875
4.594928 1.191484
4.627867 1.229229
4.660805 1.295589
4.693744 1.395582
4.726682 1.592560
4.759621 1.901539
4.792560 2.043121
4.825498 2.171600
4.858437 2.333241
4.891375 2.472528
4.924314 2.430420
4.957252 2.279963
4.990191 2.081853
5.023129 1.864782
5.056068 1.675271
5.089007 1.452425
5.121945 1.325806
5.154884 1.122578
5.187822 1.091019
5.220761 1.080736
5.253699 1.090059
5.286638 1.082465
5.319576 1.150797
5.352515 1.130158
5.385454 1.084553
5.418392 0.982334
5.451331 0.883583
5.484269 0.725038
5.517208 0.688816
5.550146 0.596922
5.583085 0.551209
5.616023 0.540274
5.648962 0.574195
5.681900 0.549676
5.714839 0.565169
5.747778 0.555158
5.780716 0.557884
5.813655 0.600150
5.846593 0.498856
5.879532 0.424507
5.912470 0.357605
5.945409 0.287958
5.978347 0.165627
6.011286 0.129131
6.044225 0.101808
6.077163 0.057653
6.110102 0.053361
6.143040 0.057995
6.175979 0.075934
6.208917 0.123249
6.241856 0.148085
6.274794 0.204720
6.307733 0.245776
6.340672 0.321273
6.373610 0.389644
6.406549 0.443356
6.439487 0.514359
6.472426 0.572050
6.505364 0.666029
6.538303 0.685809
6.571241 0.695631
