# r(Angstrom) g(r)
0.016614 0.000000
0.049841 0.000000
0.083068 0.000000
0.116295 0.000000
0.149522 0.000000
0.182749 0.000000
0.215976 0.000000
0.249204 0.000000
0.282431 0.000000
0.315658 0.000000
0.348885 0.000000
0.382112 0.000000
0.415339 0.000000
0.448567 0.000000
0.481794 0.000000
0.515021 0.000000
0.548248 0.000000
0.581475 0.000000
0.614702 0.000000
0.647929 0.000000
0.681157 0.000000
0.714384 0.000000
0.747611 0.000000
0.780838 0.000000
0.814065 0.000000
0.847292 0.000000
0.880519 0.000000
0.913747 0.000000
0.946974 0.000000
0.980201 0.000000
1.013428 0.000000
1.046655 0.000000
1.079882 0.000000
1.113109 0.000000
1.146337 0.000000
1.179564 0.000000
1.212791 0.000000
1.246018 0.000000
1.279245 0.000000
1.312472 0.000000
1.345700 0.000000
1.378927 0.000000
1.412154 0.008613
1.445381 0.049855
1.478608 0.577563
1.511835 2.129820
1.545062 5.558285
1.578290 10.079245
1.611517 13.036382
1.644744 12.697989
1.677971 10.561155
1.711198 6.880063
1.744425 3.981057
1.777652 2.104402
1.810880 0.979945
1.844107 0.394232
1.877334 0.151526
1.910561 0.051976
1.943788 0.027738
1.977015 0.008814
2.010242 0.002156
2.043470 0.000000
2.076697 0.000000
2.109924 0.000000
2.143151 0.000000
2.176378 0.000000
2.209605 0.000000
2.242833 0.000000
2.276060 0.000000
2.309287 0.000000
2.342514 0.000000
2.375741 0.000000
2.408968 0.000000
2.442195 0.000000
2.475423 0.000000
2.508650 0.000000
2.541877 0.000000
2.575104 0.000000
2.608331 0.001270
2.641558 0.000000
2.674785 0.002428
2.708013 0.000000
2.741240 0.003478
2.774467 0.006689
2.807694 0.014336
2.840921 0.009673
2.874148 0.019903
2.907375 0.037815
2.940603 0.042918
2.973830 0.050881
3.007057 0.087523
3.040284 0.098983
3.073511 0.113466
3.106738 0.158127
3.139966 0.205373
3.173193 0.274588
3.206420 0.310217
3.239647 0.374513
3.272874 0.462086
3.306101 0.545898
3.339328 0.620873
3.372556 0.678567
3.405783 0.812212
3.439010 0.920124
3.472237 0.949640
3.505464 1.041111
3.538691 1.165146
3.571918 1.242486
3.605146 1.324746
3.638373 1.357445
3.671600 1.437585
3.704827 1.518709
3.738054 1.584303
3.771281 1.575198
3.804508 1.736959
3.837736 1.728135
3.870963 1.886579
3.904190 1.936028
3.937417 2.027740
3.970644 2.140291
4.003871 2.126192
4.037099 2.232077
4.070326 2.280718
4.103553 2.313025
4.136780 2.313299
4.170007 2.228671
4.203234 2.140047
4.236461 1.971236
4.269689 1.925939
4.302916 1.762324
4.336143 1.575661
4.369370 1.426126
4.402597 1.333192
4.435824 1.136666
4.469051 1.063756
4.502279 1.012085
4.535506 0.949794
4.568733 0.890823
4.601960 0.830023
4.635187 0.816490
4.668414 0.802715
4.701641 0.770837
4.734869 0.742058
4.768096 0.714151
4.801323 0.708400
4.834550 0.689429
4.867777 0.714568
4.901004 0.665385
4.934232 0.658410
4.967459 0.627431
5.000686 0.638831
5.033913 0.625715
5.067140 0.593188
5.100367 0.587684
5.133594 0.599761
5.166822 0.567766
5.200049 0.571719
5.233276 0.562163
5.266503 0.563429
5.299730 0.561856
5.332957 0.557283
5.366184 0.538419
5.399412 0.550111
5.432639 0.553944
5.465866 0.561061
5.499093 0.575693
5.532320 0.583966
5.565547 0.642272
5.598774 0.680244
5.632002 0.729947
5.665229 0.775688
5.698456 0.820134
5.731683 0.907858
5.764910 0.935062
5.798137 0.979227
5.831365 1.038161
5.864592 1.094654
5.897819 1.166017
5.931046 1.218775
5.964273 1.230937
5.997500 1.264172
6.030727 1.270623
6.063955 1.318480
6.097182 1.322050
6.130409 1.338998
6.163636 1.329597
6.196863 1.368701
6.230090 1.331778
6.263317 1.299725
6.296545 1.291494
6.329772 1.316818
6.362999 1.312572
6.396226 1.293562
6.429453 1.310778
6.462680 1.273022
6.495907 1.220597
6.529135 1.206170
6.562362 1.197388
6.595589 1.148425
6.628816 1.093309
