# r(Angstrom) g(r)
0.016631 0.000000
0.049894 0.000000
0.083157 0.000000
0.116420 0.000000
0.149683 0.000000
0.182945 0.000000
0.216208 0.000000
0.249471 0.000000
0.282734 0.000000
0.315997 0.000000
0.349259 0.000000
0.382522 0.000000
0.415785 0.000000
0.449048 0.000000
0.482311 0.000000
0.515574 0.000000
0.548836 0.000000
0.582099 0.000000
0.615362 0.000000
0.648625 0.000000
0.681888 0.000000
0.715150 0.000000
0.748413 0.000000
0.781676 0.000000
0.814939 0.000000
0.848202 0.000000
0.881464 0.000000
0.914727 0.000000
0.947990 0.000000
0.981253 0.000000
1.014516 0.000000
1.047778 0.000000
1.081041 0.000000
1.114304 0.000000
1.147567 0.000000
1.180830 0.000000
1.214093 0.000000
1.247355 0.000000
1.280618 0.000000
1.313881 0.000000
1.347144 0.000000
1.380407 0.000000
1.413669 0.000000
1.446932 0.000000
1.480195 0.000000
1.513458 0.000000
1.546721 0.000000
1.579983 0.000000
1.613246 0.000000
1.646509 0.000000
1.679772 0.000000
1.713035 0.000000
1.746297 0.000000
1.779560 0.000000
1.812823 0.000000
1.846086 0.000000
1.879349 0.000000
1.912612 0.000000
1.945874 0.000000
1.979137 0.000000
2.012400 0.000000
2.045663 0.000000
2.078926 0.000000
2.112188 0.000000
2.145451 0.001857
2.178714 0.012525
2.211977 0.031386
2.245240 0.126695
2.278502 0.297186
2.311765 0.613860
2.345028 1.048975
2.378291 1.718956
2.411554 2.429470
2.444816 2.969837
2.478079 3.527032
2.511342 3.799905
2.544605 3.899492
2.577868 3.663574
2.611130 3.389466
2.644393 2.832741
2.677656 2.526206
2.710919 1.999507
2.744182 1.600482
2.777445 1.272583
2.810707 1.049531
2.843970 0.819685
2.877233 0.669292
2.910496 0.513745
2.943759 0.395276
2.977021 0.375859
3.010284 0.346927
3.043547 0.284325
3.076810 0.304254
3.110073 0.295911
3.143335 0.307794
3.176598 0.341933
3.209861 0.383731
3.243124 0.398470
3.276387 0.460257
3.309649 0.506336
3.342912 0.549871
3.376175 0.557016
3.409438 0.657572
3.442701 0.669463
3.475964 0.756233
3.509226 0.784068
3.542489 0.826465
3.575752 0.835881
3.609015 0.968013
3.642278 0.993891
3.675540 0.937314
3.708803 1.003705
3.742066 1.023196
3.775329 1.046528
3.808592 1.080939
3.841854 1.082490
3.875117 1.134636
3.908380 1.104202
3.941643 1.066526
3.974906 1.029351
4.008168 1.078106
4.041431 0.987813
4.074694 1.045133
4.107957 0.974166
4.141220 0.991503
4.174483 0.938781
4.207745 0.970352
4.241008 0.884569
4.274271 0.893234
4.307534 0.900967
4.340797 0.891746
4.374059 0.909721
4.407322 0.885670
4.440585 0.878582
4.473848 0.910274
4.507111 1.013957
4.540373 0.989115
4.573636 1.043845
4.606899 1.109741
4.640162 1.132830
4.673425 1.222681
4.706687 1.296435
4.739950 1.345394
4.773213 1.428997
4.806476 1.475967
4.839739 1.463652
4.873001 1.563184
4.906264 1.565984
4.939527 1.578064
4.972790 1.557252
5.006053 1.493028
5.039316 1.454178
5.072578 1.400607
5.105841 1.372267
5.139104 1.337843
5.172367 1.203189
5.205630 1.168947
5.238892 1.092397
5.272155 1.040659
5.305418 1.014894
5.338681 0.945819
5.371944 0.918846
5.405206 0.886174
5.438469 0.903937
5.471732 0.858869
5.504995 0.849341
5.538258 0.849872
5.571520 0.830977
5.604783 0.828196
5.638046 0.819399
5.671309 0.802650
5.704572 0.786141
5.737835 0.797150
5.771097 0.816634
5.804360 0.805704
5.837623 0.811929
5.870886 0.804110
5.904149 0.816818
5.937411 0.803622
5.970674 0.813000
6.003937 0.810178
6.037200 0.779467
6.070463 0.804771
6.103725 0.804705
6.136988 0.804903
6.170251 0.817297
6.203514 0.781115
6.236777 0.769651
6.270039 0.795722
6.303302 0.788001
6.336565 0.800704
6.369828 0.788943
6.403091 0.774172
6.436354 0.811458
6.469616 0.788951
6.502879 0.791072
6.536142 0.820475
6.569405 0.806858
6.602668 0.846049
6.635930 0.840375
