# r(Angstrom) g(r)
0.016631 0.000000
0.049894 0.000000
0.083157 0.000000
0.116420 0.000000
0.149683 0.000000
0.182945 0.000000
0.216208 0.000000
0.249471 0.000000
0.282734 0.000000
0.315997 0.000000
0.349259 0.000000
0.382522 0.000000
0.415785 0.000000
0.449048 0.000000
0.482311 0.000000
0.515574 0.000000
0.548836 0.000000
0.582099 0.000000
0.615362 0.000000
0.648625 0.000000
0.681888 0.000000
0.715150 0.000000
0.748413 0.000000
0.781676 0.000000
0.814939 0.000000
0.848202 0.000000
0.881464 0.000000
0.914727 0.000000
0.947990 0.000000
0.981253 0.000000
1.014516 0.000000
1.047778 0.000000
1.081041 0.000000
1.114304 0.000000
1.147567 0.000000
1.180830 0.000000
1.214093 0.000000
1.247355 0.000000
1.280618 0.000000
1.313881 0.000000
1.347144 0.000000
1.380407 0.000000
1.413669 0.000000
1.446932 0.267533
1.480195 3.140878
1.513458 8.075684
1.546721 12.427631
1.579983 14.093374
1.613246 12.907252
1.646509 9.603912
1.679772 5.755087
1.713035 3.050301
1.746297 1.488124
1.779560 0.562229
1.812823 0.219659
1.846086 0.102063
1.879349 0.028797
1.912612 0.011587
1.945874 0.004447
1.979137 0.002160
2.012400 0.000000
2.045663 0.000000
2.078926 0.001980
2.112188 0.000000
2.145451 0.000000
2.178714 0.000000
2.211977 0.000000
2.245240 0.000000
2.278502 0.000000
2.311765 0.000000
2.345028 0.000000
2.378291 0.000000
2.411554 0.000000
2.444816 0.000000
2.478079 0.000000
2.511342 0.000000
2.544605 0.000000
2.577868 0.000000
2.611130 0.000000
2.644393 0.000000
2.677656 0.000000
2.710919 0.000000
2.744182 0.000000
2.777445 0.000000
2.810707 0.000000
2.843970 0.003154
2.877233 0.007146
2.910496 0.008000
2.943759 0.013692
2.977021 0.021043
3.010284 0.026138
3.043547 0.050361
3.076810 0.056435
3.110073 0.077170
3.143335 0.108970
3.176598 0.160500
3.209861 0.202339
3.243124 0.228092
3.276387 0.293155
3.309649 0.385399
3.342912 0.452921
3.376175 0.586296
3.409438 0.629606
3.442701 0.810743
3.475964 0.878246
3.509226 0.992885
3.542489 1.188842
3.575752 1.356141
3.609015 1.464543
3.642278 1.593463
3.675540 1.703986
3.708803 1.772445
3.742066 1.918674
3.775329 1.964743
3.808592 2.034131
3.841854 2.185216
3.875117 2.222585
3.908380 2.235879
3.941643 2.290836
3.974906 2.318235
4.008168 2.363487
4.041431 2.341393
4.074694 2.259724
4.107957 2.228922
4.141220 2.110873
4.174483 1.990696
4.207745 1.792605
4.241008 1.703400
4.274271 1.554229
4.307534 1.477205
4.340797 1.342843
4.374059 1.265722
4.407322 1.233456
4.440585 1.135812
4.473848 1.083412
4.507111 1.028682
4.540373 1.013646
4.573636 0.994537
4.606899 0.918251
4.640162 0.885782
4.673425 0.902717
4.706687 0.896859
4.739950 0.868135
4.773213 0.803901
4.806476 0.763068
4.839739 0.769340
4.873001 0.710207
4.906264 0.679231
4.939527 0.677363
4.972790 0.625060
5.006053 0.588582
5.039316 0.564252
5.072578 0.537312
5.105841 0.504637
5.139104 0.472496
5.172367 0.448561
5.205630 0.466019
5.238892 0.430208
5.272155 0.457609
5.305418 0.461370
5.338681 0.457648
5.371944 0.461380
5.405206 0.494588
5.438469 0.543385
5.471732 0.551825
5.504995 0.579913
5.538258 0.602808
5.571520 0.647692
5.604783 0.697732
5.638046 0.774838
5.671309 0.824812
5.704572 0.881283
5.737835 0.935017
5.771097 0.987707
5.804360 1.049810
5.837623 1.126082
5.870886 1.138029
5.904149 1.199080
5.937411 1.242404
5.970674 1.298428
6.003937 1.353861
6.037200 1.372420
6.070463 1.422601
6.103725 1.414535
6.136988 1.466786
6.170251 1.463352
6.203514 1.454681
6.236777 1.455154
6.270039 1.476953
6.303302 1.441421
6.336565 1.406579
6.369828 1.362859
6.403091 1.291144
6.436354 1.280362
6.469616 1.213901
6.502879 1.125646
6.536142 1.103380
6.569405 1.011380
6.602668 0.956618
6.635930 0.903532
