# r(Angstrom) g(r)
0.016692 0.000000
0.050075 0.000000
0.083459 0.000000
0.116842 0.000000
0.150226 0.000000
0.183609 0.000000
0.216993 0.000000
0.250376 0.000000
0.283760 0.000000
0.317143 0.000000
0.350527 0.000000
0.383910 0.000000
0.417294 0.000000
0.450677 0.000000
0.484061 0.000000
0.517444 0.000000
0.550828 0.000000
0.584211 0.000000
0.617595 0.000000
0.650978 0.000000
0.684362 0.000000
0.717745 0.000000
0.751129 0.000000
0.784512 0.000000
0.817896 0.000000
0.851279 0.000000
0.884663 0.000000
0.918046 0.000000
0.951430 0.000000
0.984813 0.000000
1.018197 0.000000
1.051580 0.000000
1.084964 0.000000
1.118347 0.000000
1.151731 0.000000
1.185114 0.000000
1.218498 0.000000
1.251881 0.000000
1.285265 0.000000
1.318648 0.000000
1.352032 0.000000
1.385415 0.000000
1.418799 0.000000
1.452182 0.000000
1.485566 0.000000
1.518949 0.000000
1.552333 0.000000
1.585716 0.000000
1.619100 0.000000
1.652483 0.000000
1.685867 0.000000
1.719250 0.000000
1.752634 0.000000
1.786017 0.000000
1.819401 0.000000
1.852784 0.000000
1.886168 0.000000
1.919551 0.000000
1.952935 0.000000
1.986318 0.000000
2.019702 0.000000
2.053085 0.000000
2.086469 0.000000
2.119852 0.000000
2.153235 0.000000
2.186619 0.000000
2.220002 0.000000
2.253386 0.000000
2.286769 0.000000
2.320153 0.000000
2.353536 0.000000
2.386920 0.000000
2.420303 0.000000
2.453687 0.000000
2.487070 0.000000
2.520454 0.000000
2.553837 0.000000
2.587221 0.000000
2.620604 0.000000
2.653988 0.000000
2.687371 0.000000
2.720755 0.000000
2.754138 0.000000
2.787522 0.000000
2.820905 0.000000
2.854289 0.000000
2.887672 0.004106
2.921056 0.004006
2.954439 0.294615
2.987823 2.355061
3.021206 7.746130
3.054590 10.564440
3.087973 8.189360
3.121357 5.226879
3.154740 2.972111
3.188124 1.293225
3.221507 0.433010
3.254891 0.106900
3.288274 0.015834
3.321658 0.006218
3.355041 0.000000
3.388425 0.000000
3.421808 0.000000
3.455192 0.000000
3.488575 0.000000
3.521959 0.000000
3.555342 0.000000
3.588726 0.000000
3.622109 0.000000
3.655493 0.000000
3.688876 0.000000
3.722260 0.000000
3.755643 0.000000
3.789027 0.000000
3.822410 0.000000
3.855794 0.000000
3.889177 0.006790
3.922561 0.002222
3.955944 0.015349
3.989328 0.019383
4.022711 0.044481
4.056095 0.079224
4.089478 0.143496
4.122862 0.258349
4.156245 0.448754
4.189629 0.646761
4.223012 0.971422
4.256396 1.270675
4.289779 1.507979
4.323163 1.828487
4.356546 2.131106
4.389930 2.499470
4.423313 2.511172
4.456697 2.460079
4.490080 2.411677
4.523464 2.257226
4.556847 2.184154
4.590231 1.935995
4.623614 1.871333
4.656998 1.762528
4.690381 1.798183
4.723765 1.786682
4.757148 1.857104
4.790532 2.079237
4.823915 2.148037
4.857299 2.284609
4.890682 2.451639
4.924066 2.564106
4.957449 2.632958
4.990833 2.319784
5.024216 2.090581
5.057600 1.651122
5.090983 1.345145
5.124367 0.993067
5.157750 0.702965
5.191134 0.590691
5.224517 0.477654
5.257901 0.479033
5.291284 0.503551
5.324668 0.504565
5.358051 0.616576
5.391435 0.725823
5.424818 0.882461
5.458202 1.036373
5.491585 1.353712
5.524969 1.495962
5.558352 1.752541
5.591736 1.806154
5.625119 1.763313
5.658503 1.562406
5.691886 1.232959
5.725270 0.891747
5.758653 0.569145
5.792037 0.376367
5.825420 0.237640
5.858804 0.110922
5.892187 0.054351
5.925571 0.026370
5.958954 0.007722
5.992338 0.004783
6.025721 0.000946
6.059105 0.000000
6.092488 0.000000
6.125872 0.000911
6.159255 0.000000
6.192639 0.001783
6.226022 0.001767
6.259406 0.001754
6.292789 0.008654
6.326172 0.012840
6.359556 0.017800
6.392939 0.046963
6.426323 0.080557
6.459706 0.111795
6.493090 0.184656
6.526473 0.284217
6.559857 0.419999
6.593240 0.541269
6.626624 0.807000
6.660007 0.961457
