# r(Angstrom) g(r)
0.016969 0.000000
0.050906 0.000000
0.084843 0.000000
0.118781 0.000000
0.152718 0.000000
0.186656 0.000000
0.220593 0.000000
0.254530 0.000000
0.288468 0.000000
0.322405 0.000000
0.356342 0.000000
0.390280 0.000000
0.424217 0.000000
0.458155 0.000000
0.492092 0.000000
0.526029 0.000000
0.559967 0.000000
0.593904 0.000000
0.627841 0.000000
0.661779 0.000000
0.695716 0.000000
0.729654 0.000000
0.763591 0.000000
0.797528 0.000000
0.831466 0.000000
0.865403 0.000000
0.899341 0.000000
0.933278 0.000000
0.967215 0.000000
1.001153 0.000000
1.035090 0.000000
1.069027 0.000000
1.102965 0.000000
1.136902 0.000000
1.170840 0.000000
1.204777 0.000000
1.238714 0.000000
1.272652 0.000000
1.306589 0.000000
1.340526 0.000000
1.374464 0.000000
1.408401 0.000000
1.442339 0.000000
1.476276 0.000000
1.510213 0.000000
1.544151 0.000000
1.578088 0.000000
1.612025 0.000000
1.645963 0.000000
1.679900 0.000000
1.713838 0.000000
1.747775 0.000000
1.781712 0.000000
1.815650 0.000000
1.849587 0.000000
1.883524 0.000000
1.917462 0.000000
1.951399 0.000000
1.985337 0.000000
2.019274 0.000000
2.053211 0.000000
2.087149 0.000000
2.121086 0.000000
2.155024 0.000000
2.188961 0.000000
2.222898 0.001778
2.256836 0.037944
2.290773 0.090395
2.324710 0.260075
2.358648 0.470552
2.392585 0.822521
2.426523 1.371084
2.460460 2.157722
2.494397 2.731913
2.528335 3.579775
2.562272 4.171985
2.596209 4.659225
2.630147 4.398808
2.664084 4.098080
2.698022 3.570847
2.731959 2.810626
2.765896 2.159902
2.799834 1.526264
2.833771 0.975781
2.867708 0.715685
2.901646 0.428815
2.935583 0.239550
2.969521 0.170349
3.003458 0.113936
3.037395 0.101882
3.071333 0.137824
3.105270 0.174912
3.139207 0.165802
3.173145 0.208514
3.207082 0.281845
3.241020 0.306080
3.274957 0.358740
3.308894 0.417210
3.342832 0.446515
3.376769 0.551604
3.410707 0.584480
3.444644 0.666302
3.478581 0.683129
3.512519 0.734784
3.546456 0.793426
3.580393 0.827795
3.614331 0.895706
3.648268 0.981419
3.682206 1.013299
3.716143 0.973248
3.750080 1.061278
3.784018 1.030058
3.817955 1.073898
3.851892 1.080517
3.885830 1.104195
3.919767 1.118890
3.953705 1.089649
3.987642 1.094383
4.021579 1.086310
4.055517 1.078353
4.089454 1.006951
4.123391 1.037977
4.157329 1.005852
4.191266 0.997130
4.225204 0.940335
4.259141 0.928315
4.293078 0.909883
4.327016 0.883467
4.360953 0.873004
4.394890 0.854115
4.428828 0.841971
4.462765 0.852150
4.496703 0.845418
4.530640 0.837508
4.564577 0.868527
4.598515 0.897711
4.632452 0.940278
4.666389 0.992005
4.700327 1.040952
4.734264 1.094670
4.768202 1.159122
4.802139 1.254410
4.836076 1.346167
4.870014 1.418956
4.903951 1.483764
4.937889 1.562874
4.971826 1.628322
5.005763 1.693961
5.039701 1.709615
5.073638 1.722993
5.107575 1.732162
5.141513 1.685445
5.175450 1.572568
5.209388 1.448561
5.243325 1.348392
5.277262 1.256348
5.311200 1.155018
5.345137 1.056459
5.379074 0.974253
5.413012 0.944386
5.446949 0.838205
5.480887 0.819084
5.514824 0.819432
5.548761 0.795174
5.582699 0.790327
5.616636 0.802803
5.650573 0.803094
5.684511 0.821534
5.718448 0.790052
5.752386 0.827746
5.786323 0.810981
5.820260 0.795328
5.854198 0.805870
5.888135 0.793060
5.922072 0.803033
5.956010 0.782516
5.989947 0.781754
6.023885 0.842932
6.057822 0.797128
6.091759 0.802238
6.125697 0.825914
6.159634 0.795074
6.193572 0.770813
6.227509 0.824272
6.261446 0.808191
6.295384 0.812800
6.329321 0.778012
6.363258 0.797722
6.397196 0.784558
6.431133 0.775450
6.465071 0.790029
6.499008 0.773688
6.532945 0.788723
6.566883 0.769999
6.600820 0.795973
6.634757 0.794237
6.668695 0.800198
6.702632 0.801306
6.736570 0.838354
6.770507 0.867723
