# r(Angstrom) g(r)
0.016969 0.000000
0.050906 0.000000
0.084843 0.000000
0.118781 0.000000
0.152718 0.000000
0.186656 0.000000
0.220593 0.000000
0.254530 0.000000
0.288468 0.000000
0.322405 0.000000
0.356342 0.000000
0.390280 0.000000
0.424217 0.000000
0.458155 0.000000
0.492092 0.000000
0.526029 0.000000
0.559967 0.000000
0.593904 0.000000
0.627841 0.000000
0.661779 0.000000
0.695716 0.000000
0.729654 0.000000
0.763591 0.000000
0.797528 0.000000
0.831466 0.000000
0.865403 0.000000
0.899341 0.000000
0.933278 0.000000
0.967215 0.000000
1.001153 0.000000
1.035090 0.000000
1.069027 0.000000
1.102965 0.000000
1.136902 0.000000
1.170840 0.000000
1.204777 0.000000
1.238714 0.000000
1.272652 0.000000
1.306589 0.000000
1.340526 0.000000
1.374464 0.000000
1.408401 0.035265
1.442339 0.306825
1.476276 1.404219
1.510213 4.730863
1.544151 9.934167
1.578088 14.472625
1.612025 15.299702
1.645963 11.841575
1.679900 7.680887
1.713838 3.983076
1.747775 1.809039
1.781712 0.743687
1.815650 0.291763
1.849587 0.107350
1.883524 0.029576
1.917462 0.009513
1.951399 0.002296
1.985337 0.000000
2.019274 0.000000
2.053211 0.000000
2.087149 0.000000
2.121086 0.000000
2.155024 0.000000
2.188961 0.000000
2.222898 0.000000
2.256836 0.000000
2.290773 0.000000
2.324710 0.000000
2.358648 0.000000
2.392585 0.000000
2.426523 0.000000
2.460460 0.000000
2.494397 0.000000
2.528335 0.000000
2.562272 0.000000
2.596209 0.000000
2.630147 0.000000
2.664084 0.000000
2.698022 0.000000
2.731959 0.000000
2.765896 0.001143
2.799834 0.000000
2.833771 0.002178
2.867708 0.001063
2.901646 0.000000
2.935583 0.007102
2.969521 0.004958
3.003458 0.014540
3.037395 0.018955
3.071333 0.038004
3.105270 0.044432
3.139207 0.072757
3.173145 0.075551
3.207082 0.107115
3.241020 0.144007
3.274957 0.188323
3.308894 0.245973
3.342832 0.302037
3.376769 0.385715
3.410707 0.481053
3.444644 0.575525
3.478581 0.689360
3.512519 0.825640
3.546456 0.944088
3.580393 1.124763
3.614331 1.234261
3.648268 1.344107
3.682206 1.440040
3.716143 1.627234
3.750080 1.750246
3.784018 1.832574
3.817955 1.917710
3.851892 2.005467
3.885830 2.045869
3.919767 2.077180
3.953705 2.182633
3.987642 2.132442
4.021579 2.187972
4.055517 2.190847
4.089454 2.244041
4.123391 2.299823
4.157329 2.295313
4.191266 2.208019
4.225204 2.181018
4.259141 2.093378
4.293078 1.920932
4.327016 1.773232
4.360953 1.599994
4.394890 1.444097
4.428828 1.369893
4.462765 1.247722
4.496703 1.231122
4.530640 1.128404
4.564577 1.073078
4.598515 1.039518
4.632452 1.044308
4.666389 1.000262
4.700327 0.969247
4.734264 0.928873
4.768202 0.911852
4.802139 0.910005
4.836076 0.914849
4.870014 0.811081
4.903951 0.779896
4.937889 0.749848
4.971826 0.730803
5.005763 0.697897
5.039701 0.626217
5.073638 0.583900
5.107575 0.541979
5.141513 0.525255
5.175450 0.447225
5.209388 0.436584
5.243325 0.446853
5.277262 0.394343
5.311200 0.390869
5.345137 0.385616
5.379074 0.395875
5.413012 0.390628
5.446949 0.408468
5.480887 0.417106
5.514824 0.454826
5.548761 0.475123
5.582699 0.524913
5.616636 0.557393
5.650573 0.635338
5.684511 0.681893
5.718448 0.749495
5.752386 0.777407
5.786323 0.870165
5.820260 0.928706
5.854198 0.991958
5.888135 1.056217
5.922072 1.135147
5.956010 1.180911
5.989947 1.223131
6.023885 1.290833
6.057822 1.301906
6.091759 1.343989
6.125697 1.371082
6.159634 1.409021
6.193572 1.450607
6.227509 1.466855
6.261446 1.481328
6.295384 1.490552
6.329321 1.514989
6.363258 1.513989
6.397196 1.488567
6.431133 1.424696
6.465071 1.443040
6.499008 1.334230
6.532945 1.297253
6.566883 1.217374
6.600820 1.176391
6.634757 1.145915
6.668695 1.058584
6.702632 0.984636
6.736570 0.922718
6.770507 0.883353
