# r(Angstrom) g(r)
0.016969 0.000000
0.050906 0.000000
0.084843 0.000000
0.118781 0.000000
0.152718 0.000000
0.186656 0.000000
0.220593 0.000000
0.254530 0.000000
0.288468 0.000000
0.322405 0.000000
0.356342 0.000000
0.390280 0.000000
0.424217 0.000000
0.458155 0.000000
0.492092 0.000000
0.526029 0.000000
0.559967 0.000000
0.593904 0.000000
0.627841 0.000000
0.661779 0.000000
0.695716 0.000000
0.729654 0.000000
0.763591 0.000000
0.797528 0.000000
0.831466 0.000000
0.865403 0.000000
0.899341 0.000000
0.933278 0.000000
0.967215 0.000000
1.001153 0.000000
1.035090 0.000000
1.069027 0.000000
1.102965 0.000000
1.136902 0.000000
1.170840 0.000000
1.204777 0.000000
1.238714 0.000000
1.272652 0.000000
1.306589 0.000000
1.340526 0.000000
1.374464 0.000000
1.408401 0.000000
1.442339 0.000000
1.476276 0.000000
1.510213 0.000000
1.544151 0.000000
1.578088 0.000000
1.612025 0.000000
1.645963 0.000000
1.679900 0.000000
1.713838 0.000000
1.747775 0.000000
1.781712 0.000000
1.815650 0.000000
1.849587 0.000000
1.883524 0.000000
1.917462 0.000000
1.951399 0.000000
1.985337 0.000000
2.019274 0.000000
2.053211 0.000000
2.087149 0.000000
2.121086 0.000000
2.155024 0.000000
2.188961 0.000000
2.222898 0.000000
2.256836 0.000000
2.290773 0.000000
2.324710 0.000000
2.358648 0.000000
2.392585 0.000000
2.426523 0.000000
2.460460 0.000000
2.494397 0.000000
2.528335 0.000000
2.562272 0.000000
2.596209 0.000000
2.630147 0.000000
2.664084 0.009948
2.698022 0.000000
2.731959 0.009460
2.765896 0.023073
2.799834 0.063047
2.833771 0.153865
2.867708 0.334832
2.901646 0.687633
2.935583 1.015932
2.969521 1.577340
3.003458 2.622005
3.037395 3.371126
3.071333 4.202694
3.105270 4.946048
3.139207 5.051041
3.173145 4.568424
3.207082 3.614182
3.241020 2.775994
3.274957 1.810311
3.308894 1.005983
3.342832 0.625515
3.376769 0.300311
3.410707 0.136561
3.444644 0.062479
3.478581 0.023339
3.512519 0.014307
3.546456 0.008420
3.580393 0.002754
3.614331 0.002702
3.648268 0.000000
3.682206 0.000000
3.716143 0.000000
3.750080 0.005021
3.784018 0.009862
3.817955 0.014531
3.851892 0.033311
3.885830 0.046759
3.919767 0.057441
3.953705 0.092593
3.987642 0.122105
4.021579 0.194267
4.055517 0.240396
4.089454 0.392631
4.123391 0.481704
4.157329 0.559659
4.191266 0.715420
4.225204 1.024321
4.259141 1.004170
4.293078 1.183730
4.327016 1.468799
4.360953 1.468302
4.394890 1.635794
4.428828 1.717009
4.462765 1.877110
4.496703 1.906497
4.530640 2.060343
4.564577 1.978989
4.598515 1.998300
4.632452 1.944453
4.666389 1.849803
4.700327 1.960606
4.734264 1.863295
4.768202 1.931581
4.802139 1.898253
4.836076 1.927553
4.870014 2.012418
4.903951 1.997872
4.937889 2.080540
4.971826 1.936554
5.005763 1.931517
5.039701 1.894472
5.073638 1.928183
5.107575 1.732137
5.141513 1.625214
5.175450 1.382551
5.209388 1.264430
5.243325 1.185195
5.277262 0.948170
5.311200 0.942348
5.345137 0.920535
5.379074 0.873574
5.413012 0.881932
5.446949 0.869786
5.480887 0.957762
5.514824 0.980833
5.548761 1.045694
5.582699 1.069265
5.616636 1.143668
5.650573 1.249382
5.684511 1.152572
5.718448 1.134614
5.752386 1.128734
5.786323 1.054378
5.820260 0.958749
5.854198 0.733410
5.888135 0.651668
5.922072 0.497257
5.956010 0.373183
5.989947 0.276479
6.023885 0.194571
6.057822 0.130830
6.091759 0.096081
6.125697 0.071500
6.159634 0.027913
6.193572 0.041413
6.227509 0.029129
6.261446 0.045922
6.295384 0.050773
6.329321 0.067854
6.363258 0.095032
6.397196 0.137158
6.431133 0.166441
6.465071 0.186658
6.499008 0.242385
6.532945 0.304391
6.566883 0.372473
6.600820 0.413215
6.634757 0.493204
6.668695 0.589806
6.702632 0.645140
6.736570 0.700111
6.770507 0.812478
