temperature,a,b,c,source
500.0,15.0831,17.4165,16.5566,BKS
1000.0,15.0833,17.4167,16.5568,BKS
1500.0,15.0833,17.4167,16.5568,BKS
2000.0,15.0833,17.4167,16.5568,BKS
500.0,14.6127,16.8733,16.0402,DeePMD
1000.0,14.7098,16.9855,16.1468,DeePMD
1500.0,14.9255,17.2345,16.3836,DeePMD
2000.0,14.9706,17.2866,16.4331,DeePMD
500.0,14.6897,16.9622,16.1247,PBE
1000.0,14.8229,17.116,16.2709,PBE
1500.0,14.9617,17.2762,16.4233,PBE
2000.0,15.0379,17.3643,16.507,PBE
500.0,14.8582,17.1567,16.3097,ReaxFF
1000.0,14.846,17.1427,16.2963,ReaxFF
1500.0,14.8382,17.1337,16.2877,ReaxFF
2000.0,14.8372,17.1326,16.2867,ReaxFF
