Frame,Energy(kcal/mol),Source
frame_0,-1819431.70145,./reaction2/dft_PBE/energies.csv
frame_1,-1819398.85278,./reaction2/dft_PBE/energies.csv
frame_2,-1819344.62946,./reaction2/dft_PBE/energies.csv
frame_3,-1819314.14009,./reaction2/dft_PBE/energies.csv
frame_4,-1819313.18822,./reaction2/dft_PBE/energies.csv
frame_5,-1819315.33013,./reaction2/dft_PBE/energies.csv
frame_6,-1819308.35351,./reaction2/dft_PBE/energies.csv
frame_000,-1813991.76173,./reaction2/dp_20241109_clean_2/energies.csv
frame_001,-1813960.81288,./reaction2/dp_20241109_clean_2/energies.csv
frame_002,-1813918.29052,./reaction2/dp_20241109_clean_2/energies.csv
frame_003,-1813894.30803,./reaction2/dp_20241109_clean_2/energies.csv
frame_004,-1813884.85053,./reaction2/dp_20241109_clean_2/energies.csv
frame_005,-1813879.4749,./reaction2/dp_20241109_clean_2/energies.csv
frame_006,-1813863.33885,./reaction2/dp_20241109_clean_2/energies.csv
frame_000,-107079.235,./reaction2/lmp_bks/energies.csv
frame_001,-107084.8562,./reaction2/lmp_bks/energies.csv
frame_002,-107083.9398,./reaction2/lmp_bks/energies.csv
frame_003,-107088.8188,./reaction2/lmp_bks/energies.csv
frame_004,-107088.3164,./reaction2/lmp_bks/energies.csv
frame_005,-107066.6393,./reaction2/lmp_bks/energies.csv
frame_006,-107012.1871,./reaction2/lmp_bks/energies.csv
frame_000,-39782.89459,./reaction2/lmp_2015/energies.csv
frame_001,-39789.7782,./reaction2/lmp_2015/energies.csv
frame_002,-39807.54087,./reaction2/lmp_2015/energies.csv
frame_003,-39835.49536,./reaction2/lmp_2015/energies.csv
frame_004,-39919.08483,./reaction2/lmp_2015/energies.csv
frame_005,-39976.99224,./reaction2/lmp_2015/energies.csv
frame_006,-39992.05437,./reaction2/lmp_2015/energies.csv
