Frame,Energy(kcal/mol),Source
frame_6,0.0,./reaction1/dft_PBE/energies.csv
frame_5,0.2637899999972433,./reaction1/dft_PBE/energies.csv
frame_4,2.1629099999554455,./reaction1/dft_PBE/energies.csv
frame_3,5.561119999969378,./reaction1/dft_PBE/energies.csv
frame_2,10.502030000090599,./reaction1/dft_PBE/energies.csv
frame_1,-1.7586199999786913,./reaction1/dft_PBE/energies.csv
frame_0,-46.98595999996178,./reaction1/dft_PBE/energies.csv
frame_006,0.0,./reaction1/dp_20241109_clean_2/energies.csv
frame_005,-2.4969800000544637,./reaction1/dp_20241109_clean_2/energies.csv
frame_004,-2.213149999966845,./reaction1/dp_20241109_clean_2/energies.csv
frame_003,-0.8454100000672042,./reaction1/dp_20241109_clean_2/energies.csv
frame_002,-0.30181000009179115,./reaction1/dp_20241109_clean_2/energies.csv
frame_001,-5.9609400001354516,./reaction1/dp_20241109_clean_2/energies.csv
frame_000,-51.79795000003651,./reaction1/dp_20241109_clean_2/energies.csv
frame_006,0.0,./reaction1/lmp_bks/energies.csv
frame_005,-7.054999999993015,./reaction1/lmp_bks/energies.csv
frame_004,-10.62380000000121,./reaction1/lmp_bks/energies.csv
frame_003,-12.630000000004657,./reaction1/lmp_bks/energies.csv
frame_002,-16.61569999999483,./reaction1/lmp_bks/energies.csv
frame_001,-15.971399999994901,./reaction1/lmp_bks/energies.csv
frame_000,69.33290000000852,./reaction1/lmp_bks/energies.csv
frame_006,0.0,./reaction1/lmp_2015/energies.csv
frame_005,10.3006200000018,./reaction1/lmp_2015/energies.csv
frame_004,14.720710000001418,./reaction1/lmp_2015/energies.csv
frame_003,12.338279999996303,./reaction1/lmp_2015/energies.csv
frame_002,-6.987910000003467,./reaction1/lmp_2015/energies.csv
frame_001,-6.465710000004037,./reaction1/lmp_2015/energies.csv
frame_000,57.48932000000059,./reaction1/lmp_2015/energies.csv
